===Locations===
// Area 0: SOUTHERN_WOODLAND
FOREST_START : WARP
FOREST_EAST_ABOVE_SPRING : MINOR
FOREST_UPPER_EAST : MINOR
FOREST_UPPER_RIVERBANK_EXIT : MINOR
FOREST_LOWER_RIVERBANK_EXIT : MINOR
FOREST_LIGHT_ORB_ROOM : MINOR
FOREST_UPPER_EAST_EGG_LEDGE : MINOR
FOREST_COCOA_ROOM : MINOR
FOREST_NORTH_HP_UP_ROOM : MINOR
FOREST_NIGHT_TOXIC_STRIKE : MAJOR
FOREST_NIGHT_NORTH_EAST : MINOR
FOREST_NIGHT_WEST : MAJOR
FOREST_NIGHT_ATK_UP_ROOM : MINOR
CAVE_ENTRANCE : MINOR
CAVE_COCOA : MAJOR
SPECTRAL_UPPER : MINOR
SPECTRAL_MID : MINOR
SPECTRAL_WEST : MAJOR
SPECTRAL_WEST_EGG_ROOM : MINOR
SPECTRAL_WARP : WARP
SPECTRAL_CICINI_ROOM : MAJOR
// Area 1: WESTERN_COAST
BEACH_MAIN : WARP
BEACH_FOREST_ENTRANCE : MAJOR
BEACH_UNDERWATER_ENTRANCE : MINOR
BEACH_VOLCANIC_ENTRANCE : MINOR
PYRAMID_MAIN : MAJOR
PYRAMID_HOURGLASS_ROOM : MINOR
PYRAMID_WARP_ROOM : WARP
PYRAMID_SOUTHWEST_ROOM : MAJOR
PYRAMID_LOWER :  MAJOR
PYRAMID_CHAOS_ROD_ROOM : MINOR
GRAVEYARD_TOP_OF_BRIDGE : MINOR
GRAVEYARD_MAIN : WARP
GRAVEYARD_KOTRI : MAJOR
GRAVEYARD_UPPER : MINOR
SKY_ISLAND_MAIN : MINOR
SKY_ISLAND_UPPER : WARP
HALLOWEEN_UPPER: MINOR
HALLOWEEN_DARK_SHAFT : MINOR
HALLOWEEN_CENTRAL : MINOR
HALLOWEEN_FLOODED : MINOR
HALLOWEEN_PUMPKIN_HALL : MINOR
HALLOWEEN_EXIT : MINOR
HALLOWEEN_PAST_PILLARS : MINOR
// Area 2: ISLAND_CORE
RAVINE_LOWER : MAJOR
RAVINE_UPPER_EAST : WARP
RAVINE_UPPER_WEST : MINOR
RAVINE_MANA_SURGE : MINOR
RAVINE_NORTH_ATTACK_UP_ROOM : MINOR
RAVINE_CHOCOLATE : MAJOR
RAVINE_TOWN_ENTRANCE : MAJOR
RAVINE_BEACH_ENTRANCE : MINOR
PARK_MAIN : WARP
PARK_KOTRI : MAJOR
PARK_TOWN_ENTRANCE : MINOR
PARK_UPPER : MAJOR
UPRPRC_BASE : MAJOR
SKY_BRIDGE_MAIN : WARP
SKY_BRIDGE_EAST : MAJOR
SKY_BRIDGE_EAST_LOWER : MAJOR
SKY_BRIDGE_DARK_AREA : MINOR
SKY_BRIDGE_HEALTH_SURGE_ROOM : MINOR
SKY_BRIDGE_REGEN_UP_LEDGE : MINOR
SKY_BRIDGE_SLIDE_AREA : MINOR
// Area 3: NORTHERN_TUNDRA
SNOWLAND_EAST : MAJOR
SNOWLAND_MID : MINOR
SNOWLAND_RITA : WARP
SNOWLAND_LAKE : MINOR
SNOWLAND_WEST : MAJOR
SNOWLAND_EVERNIGHT_ENTRANCE : MINOR
SNOWLAND_CHRISTMAS_TREE : MINOR
PALACE_WARP_LEVEL_1_2 : WARP
PALACE_ATTACK_UP_TUNNEL : WARP
PALACE_LEVEL_3 : MINOR
PALACE_LEVEL_4 : MINOR
PALACE_LEVEL_5 : MAJOR
ICY_SUMMIT_MAIN : WARP
ICY_SUMMIT_UPPER : MAJOR
ICY_SUMMIT_NIXIE : MAJOR
AQUARIUM_TOP_ENTRANCE : WARP
AQUARIUM_MID : MINOR
AQUARIUM_EAST : MAJOR
AQUARIUM_WEST : MAJOR
AQUARIUM_WATER_TOWER : MINOR
AQUARIUM_ORB_SLIDE_MAZE : MINOR
AQUARIUM_BOMB_WALLED_AREA : MINOR
AQUARIUM_BEACH_ENTRANCE : MINOR
// Area 4: EASTERN_HIGHLANDS
RIVERBANK_MAIN_LEVEL1 : WARP
RIVERBANK_LEVEL2 : MINOR
RIVERBANK_LEVEL3 : MAJOR
RIVERBANK_LOWER_LEFT : MINOR
RIVERBANK_LOWER_MID : MINOR
RIVERBANK_LOWER_RIGHT : MINOR
RIVERBANK_LOWER_HEALTH_UP_ROOM : MINOR
RIVERBANK_PACK_UP_ROOM : MINOR
RIVERBANK_LOWER_FOREST_ENTRANCE : MINOR
RIVERBANK_UNDERGROUND : MINOR
EVERNIGHT_WEST_ENTRANCE : MAJOR
EVERNIGHT_NORTHWEST : MAJOR
EVERNIGHT_SPIKE_BARRIER_ROOM : MINOR
EVERNIGHT_WARP : WARP
EVERNIGHT_SAYA : MAJOR
EVERNIGHT_CORRIDOR_BELOW_SAYA : MINOR
EVERNIGHT_EAST_OF_WARP : MAJOR
EVERNIGHT_LOWER : MINOR
LAB_ENTRANCE : MAJOR
LAB_MID : WARP
LAB_WEST : MINOR
LAB_EAST : MAJOR
LAB_EAST_PACK_UP_ROOM : MINOR
LAB_SLIDING_POWDER_ROOM : MINOR
LAB_COMPUTER_ROOM : MINOR
// Area 5: RABI_RABI_TOWN
TOWN_MAIN : WARP
TOWN_SHOP : MINOR
// Area 6: PLURKWOOD
PLURKWOOD_MAIN : MAJOR
// Area 7: SUBTERRANEAN_AREA
VOLCANIC_MAIN : WARP
VOLCANIC_BEACH_ENTRANCE : MAJOR
// Area 8: WARP_DESTINATION
// Area 9: SYSTEM_INTERIOR
SYSTEM_INTERIOR_MAIN : MAJOR
// Extra
UNREACHABLE_LOCATION : MINOR

===AdditionalItems===
SPEED_BOOST : 6
SOUL_HEART : 9
BOOK_OF_CARROT : 13
P_HAIRPIN : 21
HEALING_STAFF : 25
MAX_BRACELET : 26
BUNNY_STRIKE : 29
STRANGE_BOX : 30
BUNNY_AMULET : 33
RUMI_DONUT : 37
RUMI_CAKE : 38
COCOA_BOMB : 40

===MapTransitions===
// area : (x, y, w, h) : node : direction : map_event : trigger_id : entrance_id
// Area 0: SOUTHERN_WOODLAND
0 : (78, 88, 8, 13) : FOREST_START : MovingLeft : 162 : 200 : 228
0 : (474, 66, 8, 13) : FOREST_UPPER_RIVERBANK_EXIT : MovingRight : 165 : 200 : 229
0 : (467, 92, 16, 9) : FOREST_LOWER_RIVERBANK_EXIT : MovingRight : 165 : 201 : 230
0 : (137, 157, 11, 14) : SPECTRAL_WEST : MovingLeft : 168 : 201 : 227
// Area 1: WESTERN_COAST
1 : (36, 45, 11, 13) : GRAVEYARD_TOP_OF_BRIDGE : MovingLeft : 163 : 206 : 176
1 : (36, 59, 11, 7) : GRAVEYARD_MAIN : MovingLeft : 163 : 202 : 229
1 : (15, 116, 15, 19) : BEACH_MAIN : MovingLeft : 163 : 200 : 228
1 : (488, 121, 12, 15) : BEACH_FOREST_ENTRANCE : MovingRight : 161 : 201 : 227
1 : (137, 146, 13, 12) : BEACH_VOLCANIC_ENTRANCE : MovingLeft : 168 : 200 : 231
1 : (38, 172, 11, 9) : BEACH_UNDERWATER_ENTRANCE : MovingLeft : 164 : 204 : 230
// Area 2: ISLAND_CORE
2 : (333, 32, 10, 14) : SKY_BRIDGE_EAST : MovingRight : 162 : 206 : 176
2 : (329, 46, 14, 9) : SKY_BRIDGE_EAST_LOWER : MovingRight : 162 : 202 : 229
2 : (0, 158, 16, 22) : PARK_MAIN : MovingLeft : 164 : 200 : 228
2 : (214, 181, 9, 9) : PARK_TOWN_ENTRANCE : MovingRight : 166 : 200 : 231
2 : (237, 181, 10, 9) : RAVINE_TOWN_ENTRANCE : MovingLeft : 166 : 201 : 232
2 : (423, 151, 22, 19) : RAVINE_BEACH_ENTRANCE : MovingRight : 162 : 201 : 227
// Area 3: NORTHERN_TUNDRA
3 : (0, 115, 14, 12) : SNOWLAND_EVERNIGHT_ENTRANCE : MovingLeft : 165 : 207 : 177
3 : (462, 114, 24, 24) : SNOWLAND_EAST : MovingRight : 163 : 201 : 227
3 : (472, 171, 11, 10) : AQUARIUM_BEACH_ENTRANCE : MovingRight : 162 : 203 : 231
// Area 4: EASTERN_HIGHLANDS
4 : (472, 110, 10, 15) : EVERNIGHT_LOWER : MovingRight : 164 : 207 : 177
4 : (16, 104, 19, 21) : RIVERBANK_MAIN_LEVEL1 : MovingLeft : 161 : 202 : 227
4 : (16, 131, 17, 16) : RIVERBANK_LOWER_FOREST_ENTRANCE : MovingLeft : 161 : 203 : 228
// Area 5: RABI_RABI_TOWN
5 : (157, 137, 10, 9) : TOWN_MAIN : MovingLeft : 163 : 204 : 227
5 : (333, 132, 10, 15) : TOWN_MAIN : MovingRight : 163 : 205 : 228
// Area 6: PLURKWOOD
// Area 7: SUBTERRANEAN_AREA
7 : (94, 21, 10, 10) : VOLCANIC_BEACH_ENTRANCE : MovingRight : 162 : 204 : 227
7 : (471, 20, 13, 14) : VOLCANIC_MAIN : MovingRight : 161 : 200 : 228
// Area 8: WARP_DESTINATION
// Area 9: SYSTEM_INTERIOR

===ShufflableGiftItems===
(223, 36) : 6 : 21 : P_HAIRPIN
(203, 120) : 5 : 6 : SPEED_BOOST
(210, 118) : 5 : 29 : BUNNY_STRIKE

===Items===
// Area 0: SOUTHERN_WOODLAND
(89,52) : 0 : 20 : NATURE_ORB
(133,66) : 0 : 365 : PACK_UP_FOREST_NIGHT
(147,143) : 0 : 104 : HP_UP_WEST_SPECTRAL
(173,86) : 0 : 160 : ATK_UP_FOREST_NIGHT
(175,128) : 0 : 356 : PACK_UP_SPECTRAL
(176,116) : 0 : 239 : MP_UP_CAVE
(183,129) : 0 : 114 : HP_UP_CAVE
(193,186) : 0 : 86 : BLESSED
(208,72) : 0 : 81 : TOXIC_STRIKE
(215,95) : 0 : 1 : PIKO_HAMMER
(230,110) : 0 : 240 : MP_UP_FOREST_CAVE
(247,166) : 0 : 91 : TOUGH_SKIN
(263,128) : 0 : 299 : REGEN_UP_CAVE
(271,52) : 0 : 117 : HP_UP_NORTH_FOREST
(277,154) : 0 : 31 : WALL_JUMP
(292,87) : 0 : 290 : REGEN_UP_MID_FOREST
(297,137) : 0 : 230 : MP_UP_MID_SPECTRAL
(315,159) : 0 : 116 : HP_UP_MID_SPECTRAL
(324,81) : 0 : 4 : CARROT_BOMB
(346,120) : 0 : 72 : DEF_TRADE
(347,47) : 0 : 17 : LIGHT_ORB
(365,94) : 0 : 96 : HP_UP_FOREST_POST_COCOA
