door_number,door_identifier,room_identifier,dest_room_identifier,door_address,room_index,room_address,door_index_within_room,dest_room_address,x_pos_door,y_pos_door,dest_x_door,dest_y_door,dest_x_offset_door,dest_y_offset_door
1,000:003,000,003,0850EF8C,0,0850EF9C,0,0850F15C,2,2,0,0,0,65488
2,001:002,001,002,0850F00C,1,0850F01C,0,0850F0B4,1,0,0,768,0,0
3,002:001,002,001,0850F094,2,0850F0B4,0,0850F01C,255,3,0,0,0,65488
4,002:003,002,003,0850F0A4,2,0850F0B4,1,0850F15C,0,4,256,0,0,65488
5,003:000,003,000,0850F12C,3,0850F15C,0,0850EF9C,255,0,272,512,0,0
6,003:002,003,002,0850F13C,3,0850F15C,1,0850F0B4,1,255,0,768,0,48
7,003:005,003,005,0850F14C,3,0850F15C,2,0850F294,5,0,0,0,0,0
8,004:700,004,700,0850F1C4,4,0850F1E4,0,0851A584,255,0,0,0,0,0
9,004:005,004,005,0850F1D4,4,0850F1E4,1,0850F294,1,0,0,256,0,0
10,005:003,005,003,0850F254,5,0850F294,0,0850F15C,255,0,1040,0,0,65488
11,005:006,005,006,0850F264,5,0850F294,1,0850F32C,2,0,0,0,0,65488
12,005:004,005,004,0850F274,5,0850F294,2,0850F1E4,255,1,0,0,0,65488
13,005:024,005,024,0850F284,5,0850F294,3,08510504,2,1,0,0,0,65488
14,006:005,006,005,0850F30C,6,0850F32C,0,0850F294,255,0,272,0,0,0
15,006:009,006,009,0850F31C,6,0850F32C,1,0850F4F4,3,0,0,1280,0,0
16,007:30E,007,30E,0850F394,7,0850F3B4,0,08514860,255,0,528,0,0,65488
17,007:008,007,008,0850F3A4,7,0850F3B4,1,0850F44C,1,0,0,0,0,65488
18,008:007,008,007,0850F42C,8,0850F44C,0,0850F3B4,255,0,0,0,0,65488
19,008:009,008,009,0850F43C,8,0850F44C,1,0850F4F4,0,1,272,0,0,0
20,009:008,009,008,0850F4C4,9,0850F4F4,0,0850F44C,1,255,0,0,65520,0
21,009:006,009,006,0850F4D4,9,0850F4F4,1,0850F32C,255,5,528,0,0,65488
22,009:00A,009,00A,0850F4E4,9,0850F4F4,2,0850F58C,2,5,0,0,0,65488
23,00A:009,00A,009,0850F56C,10,0850F58C,0,0850F4F4,255,0,272,1280,0,0
24,00A:023,00A,023,0850F57C,10,0850F58C,1,0851048C,2,0,0,0,0,0
25,00B:023,00B,023,0850F5FC,11,0850F60C,0,0851048C,1,0,0,256,0,0
26,00C:00D,00C,00D,0850F6BC,12,0850F6DC,0,0850F774,1,0,0,0,0,65488
27,00C:023,00C,023,0850F6CC,12,0850F6DC,1,0851048C,0,5,0,0,0,0
28,00D:00C,00D,00C,0850F754,13,0850F774,0,0850F6DC,255,0,0,0,0,0
29,00D:00F,00D,00F,0850F764,13,0850F774,1,0850F8A4,1,0,0,256,0,0
30,00E:023,00E,023,0850F7DC,14,0850F7EC,0,0851048C,255,0,0,0,0,0
31,00F:021,00F,021,0850F864,15,0850F8A4,0,0851033C,0,255,0,0,65520,0
32,00F:025,00F,025,0850F874,15,0850F8A4,1,0851059C,3,0,0,0,0,65488
33,00F:00D,00F,00D,0850F884,15,0850F8A4,2,0850F774,255,1,0,0,0,65488
34,00F:012,00F,012,0850F894,15,0850F8A4,3,0850FA64,3,1,0,0,0,65488
35,010:023,010,023,0850F914,16,0850F944,0,0851048C,255,0,0,256,0,0
36,010:011,010,011,0850F924,16,0850F944,1,0850F9D4,3,255,0,256,65520,48
37,010:01C,010,01C,0850F934,16,0850F944,2,08510094,5,0,0,0,0,65488
38,011:013,011,013,0850F9B4,17,0850F9D4,0,0850FAF4,1,0,0,0,0,65488
39,011:010,011,010,0850F9C4,17,0850F9D4,1,0850F944,0,2,784,0,0,65488
40,012:00F,012,00F,0850FA44,18,0850FA64,0,0850F8A4,255,0,528,256,0,0
41,012:014,012,014,0850FA54,18,0850FA64,1,0850FB9C,7,0,0,512,0,0
42,013:011,013,011,0850FAD4,19,0850FAF4,0,0850F9D4,255,0,0,0,0,0
43,013:01B,013,01B,0850FAE4,19,0850FAF4,1,0851000C,1,0,0,0,0,65488
44,014:015,014,015,0850FB6C,20,0850FB9C,0,0850FC34,1,255,0,0,65520,0
45,014:012,014,012,0850FB7C,20,0850FB9C,1,0850FA64,255,2,1552,0,0,65488
46,014:016,014,016,0850FB8C,20,0850FB9C,2,0850FCC4,2,2,0,0,0,65488
47,015:01D,015,01D,0850FC14,21,0850FC34,0,0851011C,255,0,0,0,0,65488
48,015:014,015,014,0850FC24,21,0850FC34,1,0850FB9C,0,1,272,0,0,0
49,016:014,016,014,0850FCA4,22,0850FCC4,0,0850FB9C,255,0,272,512,0,0
50,016:017,016,017,0850FCB4,22,0850FCC4,1,0850FD6C,5,0,0,256,0,0
51,017:01E,017,01E,0850FD3C,23,0850FD6C,0,085101A4,1,0,0,0,0,65488
52,017:016,017,016,0850FD4C,23,0850FD6C,1,0850FCC4,255,1,1040,0,0,65488
53,017:018,017,018,0850FD5C,23,0850FD6C,2,0850FDFC,1,1,0,0,0,65488
54,018:017,018,017,0850FDDC,24,0850FDFC,0,0850FD6C,255,0,0,256,0,0
55,018:019,018,019,0850FDEC,24,0850FDFC,1,0850FEEC,3,0,0,0,0,0
56,019:018,019,018,0850FEAC,25,0850FEEC,0,0850FDFC,255,0,528,0,0,65488
57,019:01F,019,01F,0850FEBC,25,0850FEEC,1,0851021C,1,0,0,0,0,65488
58,019:02B,019,02B,0850FECC,25,0850FEEC,2,08510904,255,1,272,0,0,0
59,019:01A,019,01A,0850FEDC,25,0850FEEC,3,0850FF84,1,1,0,0,0,65488
60,01A:019,01A,019,0850FF64,26,0850FF84,0,0850FEEC,255,0,0,256,0,0
61,01A:020,01A,020,0850FF74,26,0850FF84,1,085102A4,2,0,0,0,0,65488
62,01B:013,01B,013,0850FFEC,27,0851000C,0,0850FAF4,255,0,0,0,0,65488
63,01B:501,01B,501,0850FFFC,27,0851000C,1,08517380,1,0,0,256,0,0
64,01C:010,01C,010,08510074,28,08510094,0,0850F944,255,0,1040,0,0,65488
65,01C:711,01C,711,08510084,28,08510094,1,0851B0FC,1,0,0,0,0,0
66,01D:90A,01D,90A,085100FC,29,0851011C,0,08520160,255,0,272,0,0,65488
67,01D:015,01D,015,0851010C,29,0851011C,1,0850FC34,1,0,0,0,0,65488
68,01E:017,01E,017,08510184,30,085101A4,0,0850FD6C,255,0,0,0,0,0
69,01E:621,01E,621,08510194,30,085101A4,1,08519818,1,0,0,0,0,65488
70,01F:019,01F,019,0851020C,31,0851021C,0,0850FEEC,255,0,0,0,0,0
71,020:01A,020,01A,08510284,32,085102A4,0,0850FF84,255,0,272,0,0,65488
72,020:104,020,104,08510294,32,085102A4,1,08511C54,1,0,0,0,0,65488
73,021:022,021,022,0851031C,33,0851033C,0,085103C4,1,0,0,0,0,65488
74,021:00F,021,00F,0851032C,33,0851033C,1,0850F8A4,0,1,16,0,0,0
75,022:021,022,021,085103A4,34,085103C4,0,0851033C,255,0,0,0,0,65488
76,022:410,022,410,085103B4,34,085103C4,1,08516510,1,0,0,0,0,65488
77,023:00C,023,00C,0851043C,35,0851048C,0,0850F6DC,0,255,0,1024,0,48
78,023:00A,023,00A,0851044C,35,0851048C,1,0850F58C,255,0,272,0,0,65488
79,023:00E,023,00E,0851045C,35,0851048C,2,0850F7EC,1,0,0,0,0,65488
80,023:00B,023,00B,0851046C,35,0851048C,3,0850F60C,255,1,0,0,0,65488
81,023:010,023,010,0851047C,35,0851048C,4,0850F944,1,1,0,0,0,65488
82,024:005,024,005,085104F4,36,08510504,0,0850F294,255,0,272,256,0,0
83,025:00F,025,00F,0851057C,37,0851059C,0,0850F8A4,255,0,528,0,0,0
84,025:026,025,026,0851058C,37,0851059C,1,08510644,3,0,0,256,0,0
85,026:027,026,027,08510614,38,08510644,0,085106CC,3,0,0,0,0,65488
86,026:025,026,025,08510624,38,08510644,1,0851059C,255,1,528,0,0,65488
87,026:028,026,028,08510634,38,08510644,2,08510754,3,1,0,0,0,65488
88,027:026,027,026,085106BC,39,085106CC,0,08510644,255,0,528,0,0,0
89,028:026,028,026,08510744,40,08510754,0,08510644,255,0,528,256,0,0
90,029:02A,029,02A,085107C4,41,085107D4,0,08510864,1,0,0,0,0,65488
91,02A:029,02A,029,08510844,42,08510864,0,085107D4,255,0,0,0,0,65488
92,02A:02B,02A,02B,08510854,42,08510864,1,08510904,3,0,0,256,0,0
93,02B:019,02B,019,085108D4,43,08510904,0,0850FEEC,2,0,0,256,0,0
94,02B:02A,02B,02A,085108E4,43,08510904,1,08510864,255,1,528,0,0,65488
95,02B:02C,02B,02C,085108F4,43,08510904,2,08510984,2,1,0,0,0,65488
96,02C:02B,02C,02B,08510974,44,08510984,0,08510904,255,0,272,256,0,0
97,100:10F,100,10F,085118FC,45,0851192C,0,085123AC,255,0,0,256,0,0
98,100:102,100,102,0851190C,45,0851192C,1,08511ABC,1,0,0,0,0,65488
99,100:10D,100,10D,0851191C,45,0851192C,2,08512284,1,1,0,0,0,65488
100,101:105,101,105,085119D4,46,085119E4,0,08511D14,1,0,0,256,0,0
101,102:100,102,100,08511A9C,47,08511ABC,0,0851192C,255,0,0,0,0,0
102,102:106,102,106,08511AAC,47,08511ABC,1,08511DCC,3,0,0,768,0,0
103,103:104,103,104,08511B64,48,08511B84,0,08511C54,1,4,256,0,0,65488
104,103:104,103,104,08511B74,48,08511B84,1,08511C54,2,4,512,0,0,65488
105,104:020,104,020,08511C14,49,08511C54,0,085102A4,255,0,0,0,0,65488
106,104:103,104,103,08511C24,49,08511C54,1,08511B84,1,255,256,768,0,48
107,104:103,104,103,08511C34,49,08511C54,2,08511B84,2,255,512,768,0,48
108,104:108,104,108,08511C44,49,08511C54,3,08511F34,4,0,0,0,0,0
109,105:10C,105,10C,08511CD4,50,08511D14,0,085121FC,255,0,0,0,0,65488
110,105:101,105,101,08511CE4,50,08511D14,1,085119E4,255,1,0,0,0,65488
111,105:110,105,110,08511CF4,50,08511D14,2,08512484,255,2,272,0,0,65488
112,105:106,105,106,08511D04,50,08511D14,3,08511DCC,2,2,0,512,0,0
113,106:105,106,105,08511D8C,51,08511DCC,0,08511D14,255,2,272,512,0,0
114,106:109,106,109,08511D9C,51,08511DCC,1,08511FE4,2,2,0,0,0,65488
115,106:102,106,102,08511DAC,51,08511DCC,2,08511ABC,255,3,528,0,0,65488
116,106:10A,106,10A,08511DBC,51,08511DCC,3,085120BC,2,3,0,0,0,65488
117,107:108,107,108,08511E54,52,08511E64,0,08511F34,1,2,256,0,0,0
118,108:104,108,104,08511EF4,53,08511F34,0,08511C54,255,0,784,0,0,65488
119,108:107,108,107,08511F04,53,08511F34,1,08511E64,1,255,256,256,0,48
120,108:109,108,109,08511F14,53,08511F34,2,08511FE4,0,3,0,0,65520,65488
121,108:10B,108,10B,08511F24,53,08511F34,3,0851217C,2,3,0,0,65520,0
122,109:108,109,108,08511FC4,54,08511FE4,0,08511F34,0,255,16,512,0,48
123,109:106,109,106,08511FD4,54,08511FE4,1,08511DCC,255,0,272,512,0,0
124,10A:106,10A,106,0851209C,55,085120BC,0,08511DCC,255,0,272,768,0,0
125,10A:10B,10A,10B,085120AC,55,085120BC,1,0851217C,2,0,0,256,0,0
126,10B:108,10B,108,0851214C,56,0851217C,0,08511F34,0,255,528,512,0,48
127,10B:10E,10B,10E,0851215C,56,0851217C,1,085122FC,255,0,0,0,0,65488
128,10B:10A,10B,10A,0851216C,56,0851217C,2,085120BC,255,1,272,0,0,65488
129,10C:105,10C,105,085121EC,57,085121FC,0,08511D14,1,0,0,0,0,0
130,10D:100,10D,100,08512264,58,08512284,0,0851192C,255,0,0,256,0,0
131,10D:206,10D,206,08512274,58,08512284,1,08512F84,1,0,0,0,0,0
132,10E:10B,10E,10B,085122EC,59,085122FC,0,0851217C,1,0,0,0,0,0
133,10F:110,10F,110,0851238C,60,085123AC,0,08512484,1,0,0,0,0,65488
134,10F:100,10F,100,0851239C,60,085123AC,1,0851192C,1,1,0,0,0,0
135,110:10F,110,10F,08512464,61,08512484,0,085123AC,255,0,0,0,0,0
136,110:105,110,105,08512474,61,08512484,1,08511D14,2,0,0,512,0,0
137,200:201,200,201,08512BD4,62,08512BE4,0,08512C8C,1,0,0,0,0,0
138,201:200,201,200,08512C5C,63,08512C8C,0,08512BE4,255,0,0,0,0,65488
139,201:20E,201,20E,08512C6C,63,08512C8C,1,08513414,0,2,0,0,0,0
140,201:203,201,203,08512C7C,63,08512C8C,2,08512DBC,2,1,0,0,0,65488
141,202:206,202,206,08512D04,64,08512D24,0,08512F84,1,255,0,256,65520,48
142,202:20A,202,20A,08512D14,64,08512D24,1,085131D4,5,0,0,0,0,0
143,203:201,203,201,08512D9C,65,08512DBC,0,08512C8C,255,0,272,256,0,0
144,203:20A,203,20A,08512DAC,65,08512DBC,1,085131D4,5,0,0,256,0,0
145,204:20E,204,20E,08512E34,66,08512E54,0,08513414,255,0,272,0,0,0
146,204:207,204,207,08512E44,66,08512E54,1,0851301C,1,0,0,0,0,65488
147,205:20F,205,20F,08512ECC,67,08512EDC,0,085134AC,1,0,0,0,0,65488
148,206:10D,206,10D,08512F54,68,08512F84,0,08512284,255,0,0,0,0,65488
149,206:213,206,213,08512F64,68,08512F84,1,0851371C,1,0,0,0,0,65488
150,206:202,206,202,08512F74,68,08512F84,2,08512D24,0,2,272,0,0,65488
151,207:204,207,204,08512FFC,69,0851301C,0,08512E54,255,0,0,0,0,65488
152,207:210,207,210,0851300C,69,0851301C,1,08513564,2,0,0,0,0,0
153,208:214,208,214,08513094,70,085130A4,0,085137C4,255,0,0,0,0,0
154,209:20A,209,20A,0851311C,71,0851312C,0,085131D4,1,1,256,0,0,0
155,20A:202,20A,202,085131A4,72,085131D4,0,08512D24,255,0,1040,0,0,65488
156,20A:209,20A,209,085131B4,72,085131D4,1,0851312C,1,255,256,0,0,0
157,20A:203,20A,203,085131C4,72,085131D4,2,08512DBC,255,1,1040,0,0,65488
158,20B:212,20B,212,0851324C,73,0851325C,0,08513684,255,1,0,0,0,65488
159,20C:20E,20C,20E,085132C4,74,085132D4,0,08513414,1,0,0,0,0,0
160,20D:A01,20D,A01,0851333C,75,0851335C,0,08521510,255,0,0,0,0,65488
161,20D:20E,20D,20E,0851334C,75,0851335C,1,08513414,1,0,0,256,0,0
162,20E:201,20E,201,085133D4,76,08513414,0,08512C8C,0,255,0,256,0,48
163,20E:20C,20E,20C,085133E4,76,08513414,1,085132D4,255,0,0,0,0,65488
164,20E:204,20E,204,085133F4,76,08513414,2,08512E54,2,0,0,0,0,65488
165,20E:20D,20E,20D,08513404,76,08513414,3,0851335C,255,1,0,0,0,65488
166,20F:205,20F,205,0851348C,77,085134AC,0,08512EDC,255,0,0,0,0,65488
167,20F:210,20F,210,0851349C,77,085134AC,1,08513564,2,0,0,256,0,0
168,210:207,210,207,08513524,78,08513564,0,0851301C,255,0,272,0,0,65488
169,210:211,210,211,08513534,78,08513564,1,085135EC,1,0,0,0,0,65488
170,210:20F,210,20F,08513544,78,08513564,2,085134AC,255,1,272,0,0,65488
171,210:212,210,212,08513554,78,08513564,3,08513684,1,1,0,0,0,65488
172,211:210,211,210,085135DC,79,085135EC,0,08513564,255,0,0,0,0,0
173,212:210,212,210,08513664,80,08513684,0,08513564,255,0,0,256,0,0
174,212:20B,212,20B,08513674,80,08513684,1,0851325C,1,0,0,256,0,0
175,213:206,213,206,085136FC,81,0851371C,0,08512F84,255,0,0,0,0,0
176,213:214,213,214,0851370C,81,0851371C,1,085137C4,2,0,0,0,0,0
177,214:213,214,213,08513794,82,085137C4,0,0851371C,255,0,272,0,0,65488
178,214:208,214,208,085137A4,82,085137C4,1,085130A4,1,0,0,0,0,65488
179,214:215,214,215,085137B4,82,085137C4,2,0851384C,255,1,272,0,0,65488
180,215:214,215,214,0851383C,83,0851384C,0,085137C4,2,0,0,256,0,0
181,300:302,300,302,08513F78,84,08513F98,0,085140C0,1,0,0,0,0,65488
182,300:311,300,311,08513F88,84,08513F98,1,08514A08,1,1,0,0,0,65488
183,301:305,301,305,08514010,85,08514020,0,085142A8,1,0,0,0,0,65488
184,302:300,302,300,085140A0,86,085140C0,0,08513F98,255,0,0,0,0,0
185,302:318,302,318,085140B0,86,085140C0,1,08514E28,1,0,0,0,0,0
186,303:307,303,307,08514150,87,08514160,0,08514438,1,0,0,256,0,0
187,304:305,304,305,085141E0,88,08514200,0,085142A8,0,1,0,0,65520,65488
188,304:307,304,307,085141F0,88,08514200,1,08514438,2,255,256,256,0,48
189,305:304,305,304,08514278,89,085142A8,0,08514200,0,255,16,0,0,0
190,305:301,305,301,08514288,89,085142A8,1,08514020,255,0,0,0,0,65488
191,305:312,305,312,08514298,89,085142A8,2,08514AB0,1,0,0,0,0,65488
192,306:318,306,318,08514320,90,08514370,0,08514E28,255,0,0,0,0,0
193,306:319,306,319,08514330,90,08514370,1,08514EF8,2,0,0,0,0,0
194,306:318,306,318,08514340,90,08514370,2,08514E28,255,1,0,256,0,0
195,306:308,306,308,08514350,90,08514370,3,085144D0,0,2,0,0,65520,0
196,306:319,306,319,08514360,90,08514370,4,08514EF8,2,1,0,256,0,0
197,307:303,307,303,08514408,91,08514438,0,08514160,255,1,0,0,0,65488
198,307:30C,307,30C,08514418,91,08514438,1,08514720,2,1,0,0,0,65488
199,307:304,307,304,08514428,91,08514438,2,08514200,1,2,512,0,0,65488
200,308:306,308,306,085144A0,92,085144D0,0,08514370,0,255,16,256,0,48
201,308:30B,308,30B,085144B0,92,085144D0,1,08514680,1,0,0,0,0,65488
