item_number,name,progression,useful,filler
0,Potion,FALSE,,TRUE
1,High Potion,FALSE,,
2,Super Potion,FALSE,,
3,Meat Strip,FALSE,,
4,Tasty Meat,FALSE,,
5,Mind Up,FALSE,,TRUE
6,High Mind Up,FALSE,,
7,Mana Prism,FALSE,,
8,Anti-Venom,FALSE,,TRUE
9,Uncurse Potion,FALSE,,TRUE
10,Potato Pancake,FALSE,,
11,Beef Curry,FALSE,,
12,Ramen,FALSE,,
13,Cream Soda,FALSE,,
14,Cream Puff,FALSE,,
15,Milk,FALSE,,
16,Coffee,FALSE,,
17,Tea,FALSE,,
18,Pudding,FALSE,,
19,Strawberry,FALSE,,
20,Melon,FALSE,,
21,Grapes,FALSE,,
22,Persimmon,FALSE,,
23,Rotten Meat,FALSE,,TRUE
24,Spoiled Milk,FALSE,,TRUE
25,Skull Key,FALSE,,
26,Ancient Book 1,TRUE,,
27,Ancient Book 2,TRUE,,
28,Ancient Book 3,TRUE,,
29,CASTLE MAP 1,FALSE,,
30,CASTLE MAP 2,FALSE,,
31,CASTLE MAP 3,FALSE,,
32,Knife,FALSE,,
33,Baselard,FALSE,,
34,Combat Knife,FALSE,,
35,Short Sword,FALSE,,
36,Bastard Sword,FALSE,,
37,Whip Sword,FALSE,,
38,Gladius,FALSE,,
39,Gram,FALSE,,
40,Milican's Sword,FALSE,TRUE,
41,Hrunting,FALSE,TRUE,
42,Mystletain,FALSE,TRUE,
43,Rahab's Sword,FALSE,TRUE,
44,Durandal,FALSE,,
45,Laevatain,FALSE,,
46,Burtgang,FALSE,,
47,Kaladbolg,FALSE,TRUE,
48,Vjaya,FALSE,TRUE,
49,Balmung,FALSE,TRUE,
50,Broadsword,FALSE,,
51,Scimitar,FALSE,,
52,Claymore,FALSE,,
53,Great Sword,FALSE,,
54,Joyeuse,FALSE,,
55,Dainslef,FALSE,,
56,Ascalon,FALSE,TRUE,
57,Claimh Solais,FALSE,TRUE,
58,Final Sword,FALSE,TRUE,
59,Bamboo Sword,FALSE,,
60,Katana,FALSE,,
61,Osafune,FALSE,,
62,Onikiri,FALSE,,
63,Kunitsuna,FALSE,,
64,Yasutsuna,FALSE,TRUE,
65,Muramasa,FALSE,TRUE,
66,Hammer,FALSE,,
67,Warhammer,FALSE,,
68,Excalibur,FALSE,,
69,Tallhammer,FALSE,,
70,Battle Axe,FALSE,,
71,Death's Sickle,FALSE,TRUE,
72,Rapier,FALSE,,
73,Estoc,FALSE,,
74,Cutall,FALSE,,
75,Spear,FALSE,,
76,Trident,FALSE,,
77,Lance,FALSE,,
78,Partizan,FALSE,,
79,Gabolg,FALSE,,
80,Gungner,FALSE,,
81,Ronginus' Spear,FALSE,TRUE,
82,Cestus,FALSE,,
83,Kaiser Knuckle,FALSE,,
84,Mach Punch,FALSE,,
85,Whip Knuckle,FALSE,,
86,Poison Fist,FALSE,,
87,Handgun,FALSE,,
88,Silver Gun,FALSE,,
89,Positron Rifle,FALSE,TRUE,
90,Valmanway,FALSE,TRUE,
91,Casual Clothes,FALSE,,TRUE
92,Cloth Tunic,FALSE,,
93,Gym Clothes,FALSE,,
94,War Fatigues,FALSE,,
95,Ninja Suit,FALSE,,
96,Soldier Uniform,FALSE,,
97,Pitch Black Suit,FALSE,TRUE,
98,Olrox's Suit,FALSE,TRUE,
99,Dracula's Tunic,FALSE,TRUE,
100,Leather Plate,FALSE,,
101,Copper Plate,FALSE,,
102,Iron Plate,FALSE,,
103,Steel Plate,FALSE,,
104,Silver Plate,FALSE,,
105,Gold Plate,FALSE,,
106,Eversing,FALSE,TRUE,
107,Samurai Armor,FALSE,,
108,Silk Robe,FALSE,,
109,Elfin Robe,FALSE,,
