item_number,item_category,id,name
0,consumable,0,Potion
1,consumable,1,High Potion
2,consumable,2,Super Potion
3,consumable,3,Meat Strip
4,consumable,4,Tasty Meat
5,consumable,5,Mind Up
6,consumable,6,High Mind Up
7,consumable,7,Mana Prism
8,consumable,8,Anti-Venom
9,consumable,9,Uncurse Potion
10,consumable,10,Potato Pancake
11,consumable,11,Beef Curry
12,consumable,12,Ramen
13,consumable,13,Cream Soda
14,consumable,14,Cream Puff
15,consumable,15,Milk
16,consumable,16,Coffee
17,consumable,17,Tea
18,consumable,18,Pudding
19,consumable,19,Strawberry
20,consumable,20,Melon
21,consumable,21,Grapes
22,consumable,22,Persimmon
23,consumable,23,Rotten Meat
24,consumable,24,Spoiled Milk
25,consumable,25,Skull Key
26,consumable,26,Ancient Book 1
27,consumable,27,Ancient Book 2
28,consumable,28,Ancient Book 3
29,consumable,29,CASTLE MAP 1
30,consumable,30,CASTLE MAP 2
31,consumable,31,CASTLE MAP 3
32,weapon,0,Knife
33,weapon,1,Baselard
34,weapon,2,Combat Knife
35,weapon,3,Short Sword
36,weapon,4,Bastard Sword
37,weapon,5,Whip Sword
38,weapon,6,Gladius
39,weapon,7,Gram
40,weapon,8,Milican's Sword
41,weapon,9,Hrunting
42,weapon,10,Mystletain
43,weapon,11,Rahab's Sword
44,weapon,12,Durandal
45,weapon,13,Laevatain
46,weapon,14,Burtgang
47,weapon,15,Kaladbolg
48,weapon,16,Vjaya
49,weapon,17,Balmung
50,weapon,18,Broadsword
51,weapon,19,Scimitar
52,weapon,20,Claymore
53,weapon,21,Great Sword
54,weapon,22,Joyeuse
55,weapon,23,Dainslef
56,weapon,24,Ascalon
57,weapon,25,Claimh Solais
58,weapon,26,Final Sword
59,weapon,27,Bamboo Sword
60,weapon,28,Katana
61,weapon,29,Osafune
62,weapon,30,Onikiri
63,weapon,31,Kunitsuna
64,weapon,32,Yasutsuna
65,weapon,33,Muramasa
66,weapon,34,Hammer
67,weapon,35,Warhammer
68,weapon,36,Excalibur
69,weapon,37,Tallhammer
70,weapon,38,Battle Axe
71,weapon,39,Death's Sickle
72,weapon,40,Rapier
73,weapon,41,Estoc
74,weapon,42,Cutall
75,weapon,43,Spear
76,weapon,44,Trident
77,weapon,45,Lance
78,weapon,46,Partizan
79,weapon,47,Gabolg
80,weapon,48,Gungner
81,weapon,49,Ronginus' Spear
82,weapon,50,Cestus
83,weapon,51,Kaiser Knuckle
84,weapon,52,Mach Punch
85,weapon,53,Whip Knuckle
86,weapon,54,Poison Fist
87,weapon,55,Handgun
88,weapon,56,Silver Gun
89,weapon,57,Positron Rifle
90,weapon,58,Valmanway
91,armor,0,Casual Clothes
92,armor,1,Cloth Tunic
93,armor,2,Gym Clothes
94,armor,3,War Fatigues
95,armor,4,Ninja Suit
96,armor,5,Soldier Uniform
97,armor,6,Pitch Black Suit
98,armor,7,Olrox's Suit
99,armor,8,Dracula's Tunic
100,armor,9,Leather Plate
101,armor,10,Copper Plate
102,armor,11,Iron Plate
103,armor,12,Steel Plate
104,armor,13,Silver Plate
105,armor,14,Gold Plate
106,armor,15,Eversing
107,armor,16,Samurai Armor
108,armor,17,Silk Robe
109,armor,18,Elfin Robe
110,armor,19,Death's Robe
111,armor,20,Demon's Mail
112,armor,21,Armor of Fire
113,armor,22,Armor of Water
114,armor,23,Blocking Mail
115,armor,24,Army Jacket
116,accessory,0,Cape
117,accessory,1,Crimson Cloak
118,accessory,2,Black Cloak
119,accessory,3,Pendant
120,accessory,4,Heart Pendant
121,accessory,5,Scarf
122,accessory,6,Red Scarf
123,accessory,7,Ancient Belt
124,accessory,8,Black Belt
125,accessory,9,Skull Necklace
