pickup_number,ptr_address,simple_name,specifier,flag_offset (varA),item_offset (varB),type_num,type_name,subtype_num
1,0x85109d8,Lucky Charm,,71,38,4,PICKUP,4
2,0x8510aec,Vjaya,,33,16,4,PICKUP,3
3,0x8510af8,Cestus,,46,50,4,PICKUP,3
4,0x8510bf4,Short Sword,,17,3,4,PICKUP,3
5,0x8510c0c,Cape,,64,25,4,PICKUP,4
6,0x8510c18,Grave Keeper,,1,1,4,PICKUP,8
7,0x8510dd4,Lance,,18,45,4,PICKUP,3
8,0x8510ed0,Mind Up,_a,95,5,4,PICKUP,2
9,0x8510f60,Potion,_a,90,0,4,PICKUP,2
10,0x8510fa8,Potion,_b,92,0,4,PICKUP,2
11,0x8511038,Leather Plate,,50,9,4,PICKUP,4
12,0x8511140,Flying Armor,,2,1,4,PICKUP,6
13,0x85114c4,Yasutsuna,,39,32,4,PICKUP,3
14,0x8511560,Castle Map 1,,81,29,4,PICKUP,2
15,0x8511614,Armor of Fire,,62,21,4,PICKUP,4
16,0x8511638,Potion,_c,93,0,4,PICKUP,2
17,0x8511710,Copper Plate,,51,10,4,PICKUP,4
18,0x8511734,Scarf,,68,30,4,PICKUP,4
19,0x8511764,500,_a,157,4,4,PICKUP,1
20,0x8511878,Potion,_d,94,0,4,PICKUP,2
21,0x8512508,Anti-Venom,,131,8,4,PICKUP,2
22,0x85125c8,High Mind Up,_a,105,6,4,PICKUP,2
23,0x85125d4,100,_a,141,3,4,PICKUP,1
24,0x8512604,Bamboo Sword,,37,27,4,PICKUP,3
25,0x8512610,High Potion,_a,100,1,4,PICKUP,2
26,0x8512664,Mind Up,_b,96,5,4,PICKUP,2
27,0x8512718,100,_b,143,3,4,PICKUP,1
28,0x851279c,Tallhammer,,42,37,4,PICKUP,3
29,0x85128ec,Rapier,,20,40,4,PICKUP,3
30,0x8512934,1000,_a,140,5,4,PICKUP,1
31,0x85129c4,100,_c,142,3,4,PICKUP,1
32,0x8512a00,Silk Robe,,58,17,4,PICKUP,4
33,0x8513870,Melon,,133,20,4,PICKUP,2
34,0x851387c,Kaiser Knuckle,,47,51,5,HARD_PICKUP,3
35,0x85138f4,100,_d,144,3,4,PICKUP,1
36,0x851390c,Uncurse Potion,,132,9,4,PICKUP,2
37,0x8513aec,Malphas,,3,3,4,PICKUP,8
38,0x8513bdc,Hammer,,41,34,4,PICKUP,3
39,0x8513bf4,Heart Pendant,,67,29,4,PICKUP,4
40,0x8513c54,Broadsword,,19,18,4,PICKUP,3
41,0x8513c6c,Whip Sword,,22,5,4,PICKUP,3
42,0x8513d08,Ancient Book 1,,78,26,4,PICKUP,2
43,0x8513df8,100,_e,145,3,4,PICKUP,1
44,0x8513eb8,Bastard Sword,,23,4,4,PICKUP,3
45,0x8515158,Samurai Armor,,57,16,4,PICKUP,4
46,0x85151a0,100,_f,146,3,4,PICKUP,1
47,0x85152a8,Cutall,,21,42,4,PICKUP,3
48,0x85153ec,Mana Prism,_a,115,7,4,PICKUP,2
49,0x85154a0,High Potion,_b,101,1,4,PICKUP,2
50,0x8515548,Skeleton Blaze,,4,2,4,PICKUP,8
51,0x85155cc,100,_g,147,3,4,PICKUP,1
52,0x851577c,Sherman Ring,,74,42,4,PICKUP,4
53,0x8516824,Dainslef,,34,23,4,PICKUP,3
54,0x8516830,Ancient Book 2,,79,27,4,PICKUP,2
55,0x8516968,High Mind Up,_b,106,6,4,PICKUP,2
56,0x8516ab8,High Potion,_c,102,1,4,PICKUP,2
57,0x8516c98,Ninja Suit,,52,4,4,PICKUP,4
58,0x8516d04,Hrunting,,26,9,4,PICKUP,3
59,0x8516d10,Undine,,6,1,4,PICKUP,7
60,0x8517148,Mind Up,_c,97,5,4,PICKUP,2
61,0x8517d8c,Castle Map 3,,82,31,4,PICKUP,2
62,0x8517e28,1000,_b,155,5,4,PICKUP,1
63,0x8517f18,1000,_c,156,5,4,PICKUP,1
