pickup_number,ptr_address,room_identifier,room_address,pickup_number_within_room,x,y
1,85109D8,000,850EF9C,1,384,184
2,8510AEC,002,850F0B4,1,256,472
3,8510AF8,002,850F0B4,2,456,584
4,8510BF4,005,850F294,1,208,248
5,8510C0C,005,850F294,2,256,88
6,8510C18,005,850F294,3,256,376
7,8510DD4,009,850F4F4,1,48,1096
8,8510ED0,00B,850F60C,1,48,144
9,8510F60,00D,850F774,1,128,176
10,8510FA8,00F,850F8A4,1,48,296
11,8511038,00F,850F8A4,2,720,296
12,8511140,010,850F944,1,1136,104
13,85114C4,019,850FEEC,1,32,88
14,8511560,023,851048C,1,208,152
15,8511614,026,8510644,1,80,152
16,8511638,026,8510644,2,176,136
17,8511710,027,85106CC,1,176,104
18,8511734,028,8510754,1,176,136
19,8511764,029,85107D4,1,48,152
20,8511878,02C,8510984,1,192,152
21,8512508,101,85119E4,1,48,120
22,85125C8,103,8511B84,1,128,152
23,85125D4,103,8511B84,2,128,856
24,8512604,103,8511B84,3,312,632
25,8512610,103,8511B84,4,320,152
26,8512664,103,8511B84,5,784,152
27,8512718,105,8511D14,1,400,184
28,851279C,106,8511DCC,1,448,120
29,85128EC,107,8511E64,1,616,216
30,8512934,108,8511F34,1,208,664
31,85129C4,108,8511F34,2,672,152
32,8512A00,109,8511FE4,1,200,120
33,8513870,200,8512BE4,1,24,120
34,851387C,200,8512BE4,2,128,184
35,85138F4,201,8512C8C,1,448,127
36,851390C,202,8512D24,1,128,184
37,8513AEC,205,8512EDC,1,24,112
38,8513BDC,208,85130A4,1,120,184
39,8513BF4,209,851312C,1,48,127
40,8513C54,20A,85131D4,1,416,280
41,8513C6C,20B,851325C,1,48,232
42,8513D08,20E,8513414,1,184,440
43,8513DF8,211,85135EC,1,128,191
44,8513EB8,215,851384C,1,48,152
45,8515158,301,8514020,1,120,184
46,85151A0,303,8514160,1,48,184
47,85152A8,306,8514370,1,40,344
48,85153EC,307,8514438,1,224,104
49,85154A0,308,85144D0,1,199,447
50,8515548,30A,85145F0,1,120,176
51,85155CC,30C,8514720,1,192,184
52,851577C,310,8514988,1,48,184
53,8516824,400,8515AF0,1,256,184
54,8516830,400,8515AF0,2,358,159
55,8516968,403,8515CD0,1,64,88
56,8516AB8,405,8515E58,1,48,152
57,8516C98,409,85160D8,1,192,191
58,8516D04,40A,8516168,1,112,184
59,8516D10,40A,8516168,2,656,184
60,8517148,412,8516648,1,384,184
61,8517D8C,503,8517510,1,184,216
62,8517E28,504,85175A8,1,192,328
63,8517F18,504,85175A8,2,832,328
64,8518170,509,85178C0,1,392,152
65,8518230,50A,8517958,1,392,152
66,85182FC,50D,8517AE0,1,392,152
67,85199CC,603,85185B0,1,72,184
68,8519CA8,609,8518988,1,720,120
69,8519F78,611,8518E38,1,120,176
70,8519FF0,613,8518F78,1,200,79
71,851A0F8,615,85190C8,1,208,440
72,851A1DC,617,85191F8,1,208,312
73,851A3C8,61B,8519460,1,120,120
74,851CBF0,700,851A584,1,64,440
75,851CD34,701,851A624,1,2384,120
76,851CD58,702,851A6A4,1,48,152
77,851CE00,703,851A724,1,112,88
78,851D010,708,851AA94,1,208,88
79,851D04C,709,851AB3C,1,48,120
80,851D1E4,70C,851ADD4,1,496,72
81,851D328,70E,851AF14,1,480,440
82,851D400,70F,851AFBC,1,192,152
83,851D568,711,851B0FC,1,672,120
84,851D7FC,715,851B3F4,1,688,152
85,851D820,716,851B494,1,192,136
86,851D8E0,718,851B5DC,1,48,120
87,851D97C,719,851B68C,1,240,728
88,851D994,719,851B68C,2,256,952
89,851DA78,71C,851B8D4,1,160,216
90,851DACC,71D,851B9CC,1,48,216
91,851DC28,71F,851BB4C,1,400,88
92,851DC70,720,851BC04,1,176,120
93,851DCE8,721,851BD0C,1,472,152
94,851DD24,721,851BD0C,2,416,1176
95,851DD78,722,851BD9C,1,48,136
96,851E258,733,851C89C,1,48,136
97,851E324,736,851CABC,1,976,136
98,851F1CC,800,851E490,1,80,128
99,851F280,802,851E5E0,1,464,408
100,851F5F8,808,851E9A0,1,184,152
101,851F8B0,80F,851EDE8,1,200,136
102,851F8D4,810,851EE70,1,152,152
103,851F8E0,810,851EE70,2,200,136
104,851F904,811,851EEF8,1,200,136
105,851F940,812,851EF80,1,200,127
106,8520BAC,900,851FAF0,1,64,167
107,8520BB8,900,851FAF0,2,120,168
108,8520BD0,901,851FB98,1,88,423
109,8520C18,901,851FB98,2,976,87
110,8520C30,902,851FC28,1,128,103
111,8520D68,906,851FEC0,1,152,144
112,8520E04,908,8520000,1,464,151
113,85211E8,910,85205E0,1,176,151
114,852135C,915,8520940,1,144,151
115,8521380,917,8520A80,1,80,119
116,8521C58,A04,85216D8,1,48,88
117,8521D00,A06,8521808,1,208,88
118,8523CBC,B18,8522CDC,1,48,184
119,8523D94,B1C,8522F64,1,176,184
120,8523DB8,B1D,8522FEC,1,24,120
