,room_address,entities_ptr,doors_ptr,num_doors,x,y,x_1,y_1,type_1,subtype_1,entityID_1,varA_1,varB_1,x_2,y_2,type_2,subtype_2,entityID_2,varA_2,varB_2,x_3,y_3,type_3,subtype_3,entityID_3,varA_3,varB_3,x_4,y_4,type_4,subtype_4,entityID_4,varA_4,varB_4,x_5,y_5,type_5,subtype_5,entityID_5,varA_5,varB_5,x_6,y_6,type_6,subtype_6,entityID_6,varA_6,varB_6,x_7,y_7,type_7,subtype_7,entityID_7,varA_7,varB_7,x_8,y_8,type_8,subtype_8,entityID_8,varA_8,varB_8,x_9,y_9,type_9,subtype_9,entityID_9,varA_9,varB_9,x_10,y_10,type_10,subtype_10,entityID_10,varA_10,varB_10,x_11,y_11,type_11,subtype_11,entityID_11,varA_11,varB_11,x_12,y_12,type_12,subtype_12,entityID_12,varA_12,varB_12,x_13,y_13,type_13,subtype_13,entityID_13,varA_13,varB_13,x_14,y_14,type_14,subtype_14,entityID_14,varA_14,varB_14,x_15,y_15,type_15,subtype_15,entityID_15,varA_15,varB_15,x_16,y_16,type_16,subtype_16,entityID_16,varA_16,varB_16,x_17,y_17,type_17,subtype_17,entityID_17,varA_17,varB_17,x_18,y_18,type_18,subtype_18,entityID_18,varA_18,varB_18,x_19,y_19,type_19,subtype_19,entityID_19,varA_19,varB_19,x_20,y_20,type_20,subtype_20,entityID_20,varA_20,varB_20,x_21,y_21,type_21,subtype_21,entityID_21,varA_21,varB_21,x_22,y_22,type_22,subtype_22,entityID_22,varA_22,varB_22,x_23,y_23,type_23,subtype_23,entityID_23,varA_23,varB_23,x_24,y_24,type_24,subtype_24,entityID_24,varA_24,varB_24,x_25,y_25,type_25,subtype_25,entityID_25,varA_25,varB_25,x_26,y_26,type_26,subtype_26,entityID_26,varA_26,varB_26,x_27,y_27,type_27,subtype_27,entityID_27,varA_27,varB_27,Region,Region Number,Index in Region
0,0850EF9C,0x85109a8,0x850ef8c,1,0,19,0.0,0.0,2.0,7.0,0.0,1.0,4.0,0.0,0.0,2.0,7.0,1.0,1.0,6.0,0.0,0.0,2.0,7.0,2.0,1.0,5.0,456.0,144.0,2.0,15.0,3.0,0.0,0.0,384.0,184.0,4.0,4.0,4.0,71.0,38.0,296.0,336.0,2.0,15.0,5.0,0.0,0.0,120.0,368.0,2.0,15.0,6.0,0.0,0.0,120.0,448.0,2.0,15.0,7.0,0.0,0.0,120.0,703.0,2.0,32.0,8.0,3.0,58.0,138.0,704.0,2.0,32.0,9.0,27.0,0.0,277.0,704.0,2.0,32.0,10.0,26.0,0.0,106.0,704.0,2.0,32.0,11.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,1
1,0850F01C,0x8510a44,0x850f00c,1,2,20,0.0,0.0,2.0,31.0,0.0,0.0,0.0,224.0,160.0,2.0,29.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,2
2,0850F0B4,0x8510a68,0x850f094,2,3,17,0.0,0.0,2.0,7.0,0.0,1.0,4.0,0.0,0.0,2.0,7.0,1.0,1.0,6.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,0.0,0.0,56.0,176.0,2.0,15.0,4.0,1.0,2.0,80.0,208.0,1.0,31.0,5.0,0.0,0.0,432.0,240.0,1.0,31.0,6.0,0.0,0.0,456.0,208.0,2.0,15.0,7.0,1.0,2.0,256.0,376.0,1.0,32.0,8.0,0.0,0.0,216.0,448.0,2.0,15.0,9.0,0.0,1.0,296.0,448.0,2.0,15.0,10.0,0.0,0.0,256.0,472.0,4.0,3.0,11.0,33.0,16.0,456.0,584.0,4.0,3.0,12.0,46.0,50.0,456.0,768.0,2.0,15.0,13.0,0.0,0.0,288.0,792.0,1.0,32.0,14.0,0.0,0.0,288.0,952.0,1.0,32.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,3
3,0850F15C,0x8510b34,0x850f12c,3,2,21,8.0,160.0,2.0,0.0,0.0,0.0,0.0,16.0,128.0,2.0,7.0,1.0,0.0,1.0,16.0,0.0,2.0,7.0,2.0,1.0,1.0,128.0,176.0,1.0,1.0,3.0,2.0,1.0,256.0,128.0,3.0,0.0,4.0,1.0,0.0,512.0,128.0,3.0,0.0,5.0,1.0,0.0,768.0,128.0,3.0,1.0,6.0,1.0,1.0,1024.0,128.0,3.0,0.0,7.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,4
4,0850F1E4,0x8510ba0,0x850f1c4,2,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,5
5,0850F294,0x8510bac,0x850f254,4,7,21,0.0,0.0,2.0,7.0,0.0,1.0,3.0,8.0,416.0,2.0,0.0,1.0,0.0,0.0,16.0,464.0,1.0,3.0,2.0,1.0,1.0,64.0,288.0,3.0,0.0,3.0,1.0,0.0,192.0,176.0,1.0,0.0,4.0,0.0,0.0,208.0,176.0,1.0,0.0,5.0,0.0,0.0,208.0,248.0,4.0,3.0,6.0,17.0,3.0,208.0,344.0,2.0,15.0,7.0,0.0,0.0,256.0,88.0,4.0,4.0,8.0,64.0,25.0,256.0,376.0,4.0,8.0,9.0,1.0,1.0,304.0,344.0,2.0,15.0,10.0,0.0,0.0,304.0,176.0,1.0,0.0,11.0,0.0,0.0,320.0,176.0,1.0,0.0,12.0,0.0,0.0,448.0,288.0,3.0,0.0,13.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,6
6,0850F32C,0x8510c60,0x850f30c,2,9,21,0.0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,128.0,176.0,1.0,2.0,2.0,0.0,0.0,256.0,128.0,3.0,0.0,3.0,1.0,0.0,320.0,176.0,1.0,2.0,4.0,0.0,0.0,384.0,176.0,1.0,2.0,5.0,0.0,0.0,448.0,176.0,1.0,2.0,6.0,0.0,0.0,512.0,128.0,3.0,0.0,7.0,1.0,0.0,640.0,176.0,1.0,2.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,7
7,0850F3B4,0x8510cd8,0x850f394,2,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,8
8,0850F44C,0x8510ce4,0x850f42c,2,13,15,0.0,0.0,2.0,7.0,0.0,1.0,4.0,0.0,0.0,2.0,7.0,1.0,1.0,5.0,8.0,160.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castle Corridor,1,9
9,0850F4F4,0x8510d14,0x850f4c4,3,12,16,0.0,0.0,2.0,7.0,0.0,1.0,6.0,0.0,0.0,2.0,7.0,1.0,1.0,5.0,0.0,0.0,2.0,7.0,2.0,0.0,3.0,256.0,256.0,1.0,15.0,3.0,0.0,0.0,216.0,256.0,2.0,15.0,4.0,0.0,0.0,296.0,256.0,2.0,15.0,5.0,0.0,0.0,256.0,448.0,1.0,15.0,6.0,0.0,0.0,296.0,448.0,2.0,15.0,7.0,0.0,0.0,216.0,480.0,2.0,15.0,8.0,0.0,0.0,256.0,640.0,1.0,15.0,9.0,0.0,0.0,216.0,640.0,2.0,15.0,10.0,0.0,0.0,296.0,672.0,2.0,15.0,11.0,0.0,0.0,472.0,736.0,2.0,15.0,12.0,0.0,0.0,216.0,832.0,2.0,15.0,13.0,0.0,0.0,296.0,832.0,2.0,15.0,14.0,0.0,0.0,256.0,888.0,1.0,4.0,15.0,0.0,0.0,48.0,1096.0,4.0,3.0,16.0,18.0,45.0,120.0,1120.0,2.0,15.0,17.0,0.0,1.0,464.0,1176.0,1.0,5.0,18.0,0.0,0.0,264.0,1216.0,2.0,15.0,19.0,0.0,0.0,48.0,1272.0,1.0,5.0,20.0,0.0,0.0,256.0,1280.0,1.0,4.0,21.0,0.0,0.0,128.0,1416.0,3.0,0.0,22.0,1.0,0.0,224.0,1416.0,3.0,0.0,23.0,1.0,0.0,320.0,1416.0,3.0,0.0,24.0,1.0,0.0,504.0,1440.0,2.0,2.0,25.0,0.0,11.0,256.0,1464.0,1.0,4.0,26.0,0.0,0.0,Castle Corridor,1,10
