index,from_entrance,to_entrance
1,000:003,003:000
2,001:002,002:001
3,002:001,001:002
4,002:003,003:002
5,003:000,000:003
6,003:002,002:003
7,003:005,005:003
8,004:005,005:004
9,004:700,700:004
10,005:003,003:005
11,005:004,004:005
12,005:006,006:005
13,005:024,024:005
14,006:005,005:006
15,006:009,009:006
16,007:008,008:007
17,007:30E,30E:007
18,008:007,007:008
19,008:009,009:008
20,009:006,006:009
21,009:008,008:009
22,009:00A,00A:009
23,00A:009,009:00A
24,00A:023,023:00A
25,00B:023,023:00B
26,00C:00D,00D:00C
27,00C:023,023:00C
28,00D:00C,00C:00D
29,00D:00F,00F:00D
30,00E:023,023:00E
31,00F:00D,00D:00F
32,00F:012,012:00F
33,00F:021,021:00F
34,00F:025,025:00F
35,010:011,011:010
36,010:01C,01C:010
37,010:023,023:010
38,011:010,010:011
39,011:013,013:011
40,012:00F,00F:012
41,012:014,014:012
42,013:011,011:013
43,013:01B,01B:013
44,014:012,012:014
45,014:015,015:014
46,014:016,016:014
47,015:014,014:015
48,015:01D,01D:015
49,016:014,014:016
50,016:017,017:016
51,017:016,016:017
52,017:018,018:017
53,017:01E,01E:017
54,018:017,017:018
55,018:019,019:018
56,019:018,018:019
57,019:01A,01A:019
58,019:01F,01F:019
59,019:02B,02B:019
60,01A:019,019:01A
61,01A:020,020:01A
62,01B:013,013:01B
63,01B:501,501:01B
64,01C:010,010:01C
65,01C:711,711:01C
66,01D:015,015:01D
67,01D:90A,90A:01D
68,01E:017,017:01E
69,01E:621,621:01E
70,01F:019,019:01F
71,020:01A,01A:020
72,020:104,104:020
73,021:00F,00F:021
74,021:022,022:021
75,022:021,021:022
76,022:410,410:022
77,023:00A,00A:023
78,023:00B,00B:023
79,023:00C,00C:023
80,023:00E,00E:023
81,023:010,010:023
82,024:005,005:024
83,025:00F,00F:025
84,025:026,026:025
85,026:025,025:026
86,026:027,027:026
87,026:028,028:026
88,027:026,026:027
89,028:026,026:028
90,029:02A,02A:029
91,02A:029,029:02A
92,02A:02B,02B:02A
93,02B:019,019:02B
94,02B:02A,02A:02B
95,02B:02C,02C:02B
96,02C:02B,02B:02C
97,100:102,102:100
98,100:10D,10D:100
99,100:10F,10F:100
100,101:105,105:101
101,102:100,100:102
102,102:106,106:102
103,103:104,104:103
104,103:104,104:103
105,104:020,020:104
106,104:103,103:104
107,104:103,103:104
108,104:108,108:104
109,105:101,101:105
110,105:106,106:105
111,105:10C,10C:105
112,105:110,110:105
113,106:102,102:106
114,106:105,105:106
115,106:109,109:106
116,106:10A,10A:106
117,107:108,108:107
118,108:104,104:108
119,108:107,107:108
120,108:109,109:108
121,108:10B,10B:108
122,109:106,106:109
123,109:108,108:109
124,10A:106,106:10A
125,10A:10B,10B:10A
126,10B:108,108:10B
127,10B:10A,10A:10B
128,10B:10E,10E:10B
129,10C:105,105:10C
130,10D:100,100:10D
131,10D:206,206:10D
132,10E:10B,10B:10E
133,10F:100,100:10F
134,10F:110,110:10F
135,110:105,105:110
136,110:10F,10F:110
137,200:201,201:200
138,201:200,200:201
139,201:203,203:201
140,201:20E,20E:201
141,202:206,206:202
142,202:20A,20A:202
143,203:201,201:203
144,203:20A,20A:203
145,204:207,207:204
146,204:20E,20E:204
147,205:20F,20F:205
148,206:10D,10D:206
149,206:202,202:206
150,206:213,213:206
151,207:204,204:207
152,207:210,210:207
153,208:214,214:208
154,209:20A,20A:209
155,20A:202,202:20A
156,20A:203,203:20A
157,20A:209,209:20A
158,20B:212,212:20B
159,20C:20E,20E:20C
160,20D:20E,20E:20D
161,20D:A01,A01:20D
162,20E:201,201:20E
163,20E:204,204:20E
164,20E:20C,20C:20E
165,20E:20D,20D:20E
166,20F:205,205:20F
167,20F:210,210:20F
168,210:207,207:210
169,210:20F,20F:210
170,210:211,211:210
171,210:212,212:210
172,211:210,210:211
173,212:20B,20B:212
174,212:210,210:212
175,213:206,206:213
176,213:214,214:213
177,214:208,208:214
178,214:213,213:214
179,214:215,215:214
180,215:214,214:215
181,300:302,302:300
182,300:311,311:300
183,301:305,305:301
184,302:300,300:302
185,302:318,318:302
186,303:307,307:303
187,304:305,305:304
188,304:307,307:304
189,305:301,301:305
190,305:304,304:305
191,305:312,312:305
192,306:308,308:306
193,306:318,318:306
194,306:318,318:306
195,306:319,319:306
196,306:319,319:306
197,307:303,303:307
198,307:304,304:307
199,307:30C,30C:307
200,308:306,306:308
201,308:309,309:308
202,308:30B,30B:308
203,309:308,308:309
204,309:30F,30F:309
205,30A:313,313:30A
206,30B:308,308:30B
207,30B:31A,31A:30B
208,30C:307,307:30C
209,30D:310,310:30D
210,30D:317,317:30D
211,30D:319,319:30D
212,30E:007,007:30E
213,30E:319,319:30E
214,30F:309,309:30F
215,30F:313,313:30F
216,30F:316,316:30F
217,310:30D,30D:310
218,311:300,300:311
219,312:305,305:312
220,312:314,314:312
221,313:30A,30A:313
222,313:30F,30F:313
223,314:312,312:314
224,314:315,315:314
225,314:319,319:314
226,315:314,314:315
227,316:30F,30F:316
228,317:30D,30D:317
229,317:403,403:317
230,318:302,302:318
231,318:306,306:318
232,318:306,306:318
233,319:306,306:319
234,319:306,306:319
235,319:30D,30D:319
236,319:30E,30E:319
237,319:314,314:319
238,31A:30B,30B:31A
239,31A:31B,31B:31A
240,31B:31A,31A:31B
241,31B:31C,31C:31B
242,31C:31B,31B:31C
243,400:401,401:400
244,401:400,400:401
245,401:402,402:401
246,402:401,401:402
247,402:404,404:402
248,403:317,317:403
249,403:404,404:403
250,404:402,402:404
251,404:403,403:404
252,404:405,405:404
253,404:406,406:404
254,404:407,407:404
255,404:414,414:404
256,405:404,404:405
257,405:409,409:405
258,406:404,404:406
259,406:40B,40B:406
260,407:404,404:407
261,408:410,410:408
262,408:411,411:408
263,408:412,412:408
264,408:413,413:408
265,409:405,405:409
266,40A:40E,40E:40A
267,40B:406,406:40B
268,40B:40E,40E:40B
269,40C:40E,40E:40C
270,40D:411,411:40D
271,40D:415,415:40D
272,40E:40A,40A:40E
273,40E:40B,40B:40E
274,40E:40C,40C:40E
275,40E:411,411:40E
