from_entrance,to_entrance,does_exist,is_override
500:501,501:500,TRUE,FALSE
500:501,501:500,TRUE,FALSE
500:502,502:500,TRUE,FALSE
500:502,502:500,TRUE,FALSE
500:50D,50D:500,TRUE,FALSE
501:01B,01B:501,TRUE,FALSE
501:500,500:501,TRUE,FALSE
501:500,500:501,TRUE,FALSE
501:503,503:501,TRUE,FALSE
501:503,503:501,TRUE,FALSE
502:500,500:502,TRUE,FALSE
502:500,500:502,TRUE,FALSE
502:503,503:502,TRUE,FALSE
502:503,503:502,TRUE,FALSE
502:508,508:502,TRUE,FALSE
503:501,501:503,TRUE,FALSE
503:501,501:503,TRUE,FALSE
503:502,502:503,TRUE,FALSE
503:502,502:503,TRUE,FALSE
503:50C,50C:503,TRUE,FALSE
504:505,505:504,TRUE,FALSE
504:508,508:504,TRUE,FALSE
505:504,504:505,TRUE,FALSE
505:507,507:505,TRUE,FALSE
505:509,509:505,FALSE,FALSE
505:509,509:50A,TRUE,TRUE
505:50B,50B:505,TRUE,FALSE
506:507,507:506,TRUE,FALSE
506:50E,50E:506,TRUE,FALSE
507:505,505:507,TRUE,FALSE
507:506,506:507,TRUE,FALSE
508:502,502:508,TRUE,FALSE
508:504,504:508,TRUE,FALSE
509:50A,50A:509,FALSE,FALSE
509:50A,50A:505,TRUE,TRUE
509:50D,50D:509,TRUE,FALSE
50A:505,505:50A,FALSE,FALSE
50A:505,505:504,TRUE,TRUE
50A:622,622:50A,TRUE,FALSE
50B:505,505:50B,TRUE,FALSE
50C:503,503:50C,TRUE,FALSE
50D:500,500:50D,TRUE,FALSE
50D:509,509:50D,TRUE,FALSE
50E:506,506:50E,TRUE,FALSE
50E:B20,B20:50E,TRUE,TRUE
B20:50E,50E:B20,TRUE,TRUE
B0B:B14,B14:B0B,TRUE,TRUE
B14:B0B,B0B:B14,TRUE,TRUE
