pickup_number,Room,Item Name,,dest_room_identifier,None,Glide,Slide,DJump,HJump,WWalk,Dive,Panth.,Bat,Impossible,Kick,<alt 2>,Misc. combo 1,Misc. combo 2,Misc. combo 3,Misc. combo 4,Misc. combo 5
1,000,Lucky Charm,1,Any,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
2,002,Vjaya,1,Any,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
3,002,Cestus,1,Any,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
4,005,Short Sword,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
5,005,Cape,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
6,005,Grave Keeper,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
7,009,Lance,1,"006, 00A",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Flying Armor (Glide), Malphas (DJump)","Black Panther (Panth), Malphas (DJump)","Malphas (DJump), Kicker Skeleton (Kick)","Black Panther (Panth), Kicker Skeleton (Kick), Quick Save Entrance Reset (QSave)","Malphas (DJump), Pixel Perfect (PixPer), Random Kickable Enemy (Enemy)"
7,009,Lance,1,008,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Quick Save Entrance Reset (QSave),,,,
8,00B,Mind Up,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
9,00D,Potion,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
10,00F,Potion,1,021,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Malphas (DJump), Flying Armor (Glide)","Black Panther (Panth), Malphas (DJump)",,,
10,00F,Potion,1,"00D, 012, 025",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Gravekeeper (BDash), Pixel Perfect (PixPer)",,,,
11,00F,Leather Plate,1,021,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Malphas (DJump), Flying Armor (Glide)","Malphas (DJump), Black Panther (Panth)",,,
11,00F,Leather Plate,1,"00D, 012, 025",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Gravekeeper (BDash), Pixel Perfect (PixPer)",,,,
12,010,Flying Armor,1,011,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Malphas (DJump), Platform Clip (Clip)","Undine (WWalk), Malphas (DJump)",,,
12,010,Flying Armor,1,01C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
12,010,Flying Armor,1,023,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
13,019,Yasutsuna,1,Any,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
14,023,Castle Map 1,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
15,026,Armor of Fire,1,Any,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,
16,026,Potion,1,027,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Pixel Perfect (PixPer), Flying Armor (Glide)",,,,
16,026,Potion,1,"025, 028",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Gravekeeper (BDash), Pixel Perfect (PixPer)",,,,
17,027,Copper Plate,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
18,028,Scarf,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
19,029,$500,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
20,02C,Potion,1,Any,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
