id,name,classification,groups
0,Movement Pack,progression,DLC
1,Animation Pack,filler,DLC
2,Audio Pack,filler,DLC
3,Pause Menu Pack,useful,DLC
4,Time is Money Pack,progression,DLC
5,Double jump Pack,progression,DLC
6,Pet Pack,filler,DLC
7,Sexy Outfits Pack,filler,DLC
8,Top Hat Pack,filler,DLC
9,Map Pack,progression,DLC
10,Gun Pack,progression,DLC
11,Zombie Pack,filler,DLC
12,Night Map Pack,usefull,DLC
13,Psychological Warfare Pack,progression,DLC
14,Horse Armor Pack,progression,DLC
15,Finish the fight Pack,progression,DLC
