order,area,map,index,memo,type,qual,fav,text,notes
1,,#BaronTown,0x00,,unused,,,,
2,,#BaronTown,0x01,,unused,,,,
3,BaronTown,#BaronTown,0x02,man,info,0,,Welcome to the seed! Hope you have a good time!,
4,,#BaronTown,0x03,,unused,,,,
5,,#BaronTown,0x04,,unused,,,,
6,BaronTown,#BaronTown,0x05,old man,info,0,,Why exactly are the Red Wings feared when their captain's strongest weapon is [darksword]Black?,
7,,#BaronTown,0x06,,unused,,,,
8,,#BaronTown,0x07,,unused,,,,
9,BaronTown,#BaronTown,0x08,woman,info,0,,Don't do Baron Inn early! It will be awful! I can tell!,
10,,#BaronTown,0x09,,unused,,,,
11,,#BaronTown,0x0A,,unused,,,,
12,BaronTown,#BaronTown,0x0B,boy,info,0,,My name's Todd. Have you seen my brother?,
13,BaronTown,#BaronTown,0x0C,old woman,info,0,,Find the [key]Baron to open the west building of town and sneak into the castle!,
14,BaronTown,#BaronTown,0x0D,?,info,,,,
15,,#BaronTown,0x0E,,unused,,,,
16,,#BaronTown,0x0F,,unused,,,,
17,BaronTown,#BaronTown,0x10,dancer,event,,,"Hidden treasures in the water? I uh__ look, someone's dancing!",
18,BaronTown,#BaronTown,0x11,training soldier,event,,,,Keep current change.
19,Mist,#Mist,0x00,man,info,1,,"It's weird, this whole village was on fire but it looks the exact same as before.",
20,Mist,#Mist,0x01,man,info,1,,"Titan is a great summon, but I guess he only moves mountains when it's plot-relevant.",
21,Mist,#Mist,0x02,man,info,1,,I'm opening a grill house in town for people with big appetites!|It's called: Huge Mist Steaks.,
22,Mist,#Mist,0x03,old man,info,1,,"The Imp, Bomb, Cockatrice, and Mage summon orbs don't exist anymore, but you might still get one of those spells on Mt. Hobs!|More than one way to melt an ice wall, y'know.",
23,Kaipo,#Kaipo,0x00,man,info,0,,Welcome to Kaipo! We recently purified the oasis to keep Waterhags away!,
24,Kaipo,#Kaipo,0x01,bearded man,info,0,,An ill person was recently found in the desert. If only we had the SandRuby__,
25,Kaipo,#Kaipo,0x02,woman,info,0,,They say you should use a SomaDrop to jog old minds to their most powerful spells.,
26,Kaipo,#Kaipo,0x03,dancer,event,,,I was hired to help purify the oasis to keep Waterhags away! Wanna see?,
27,Kaipo,#Kaipo,0x04,boy,info,0,,"If you listen to the waterfall currents of Watery Pass, you can hear 'don't softlock.'",
28,Kaipo,#Kaipo,0x05,man,info,0,,Just doing a thorough test on the neighborhood doors to see how sturdy they are.,
29,Kaipo,#Kaipo,0x06,woman,info,0,,"Please help me, my boyfriend won't stop testing doors.",
30,,#Mysidia,0x00,,unused,,,,
31,,#Mysidia,0x01,,unused,,,,
32,,#Mysidia,0x02,,unused,,,,
33,Mysidia,#Mysidia,0x03,black mage,info,0,,Need a big damage spell to get around counters or timing? Try using Bluff!,
34,,#Mysidia,0x04,,unused,,,,
35,,#Mysidia,0x05,,unused,,,,
36,Mysidia,#Mysidia,0x06,white mage,info,0,,I keep hoping the armor shop will stock [helmet]Wizard and [shirt]Wizard to buff my Will.,
37,,#Mysidia,0x07,,unused,,,,
