# MMX5 pickup placement inventory - extracted statically from the disc (v5, final)
# Deterministic chain: loader table 0x8006FD50 (EXE, u8[stage*2+area] -> ROCK chunk),
#   record tables 0x80072EAC (primary) / 0x80072F64 (secondary) (u32[stage*8+area*4]),
#   module RAM base 0x800EE970, disc = chunk_base + (list_ram - base).
# Validated by: 8 heart anchors, Dizzy-a1 live-dump anchor (chunk3),
#   X-vs-Zero duel live-dump anchor (chunk28). See mmx5-ghidra-findings.md 9.13.
# Location identity = (stage, area, table, rec_index). The AP stub reads the record
#   pointer from itemObj+0x10; both list bases are known statically.
# gate!=0 records NEVER SPAWN (spawner rejects gate>=3 before reading armor level;
#   the only nonzero gates in the data are 5). Excluded from location counts.
# Type names PROVEN from ctor 0x8005367C: 0x20 small life, 0x21 large life,
#   0x22 full life, 0x23 small weapon, 0x24 large weapon, 0x25 full weapon, 0x26 1-UP.

stage_id,stage_name,area,table,rec_index,item_id,type,gate,x,y,source
0x00,Intro,0,primary,47,0x21,Large Life Energy,0,1432,1120,EXE
0x01,Grizzly Slash,0,primary,37,0x00,Heart Tank,0,3488,80,chunk1
0x01,Grizzly Slash,0,primary,60,0x21,Large Life Energy,0,3200,240,chunk1
0x01,Grizzly Slash,0,primary,61,0x27,Sub-Tank,0,6896,376,chunk1
0x02,Dark Dizzy,0,primary,173,0x21,Large Life Energy,0,3200,392,chunk2
0x02,Dark Dizzy,0,primary,174,0x28,Sub-Tank,0,5296,256,chunk2
0x02,Dark Dizzy,1,primary,10,0x06,Heart Tank,0,2440,384,chunk3
0x02,Dark Dizzy,1,primary,11,0x06,Heart Tank,0,2440,752,chunk3
0x02,Dark Dizzy,1,primary,12,0x24,Large Weapon Energy,0,4040,664,chunk3
0x03,Duff McWhalen,0,primary,20,0x03,Heart Tank,0,3648,560,chunk4
0x03,Duff McWhalen,0,primary,21,0x21,Large Life Energy,0,2336,400,chunk4
0x03,Duff McWhalen,0,primary,22,0x20,Small Life Energy,0,2992,744,chunk4
0x03,Duff McWhalen,0,primary,23,0x20,Small Life Energy,0,3104,912,chunk4
