Location Name,Category,Regions Required,Skills Required,Items Required,QP Required,Plugin Task Type,Task Parameters,,,,,,,
Quest: Cook's Assistant,Quest,"Lumbridge, Wheat, Windmill, Egg, Milk",,,,QuestTask,,,,,,,,
Quest: Demon Slayer,Quest,"Central Varrock, Varrock Palace, Wizard Tower, South of Varrock",,,,QuestTask,,,,,,,,
Quest: The Restless Ghost,Quest,"Lumbridge, Lumbridge Swamp, Wizard Tower",,,,QuestTask,,,,,,,,
Quest: Romeo & Juliet,Quest,"Central Varrock, Varrock Palace, South of Varrock, West Varrock",,,,QuestTask,,,,,,,,
Quest: Sheep Shearer,Quest,"Lumbridge Farms West, Spinning Wheel",,,,QuestTask,,,,,,,,
Quest: Shield of Arrav,Quest,"Central Varrock, Varrock Palace, South of Varrock, West Varrock",,,,QuestTask,,,,,,,,
Quest: Ernest the Chicken,Quest,Draynor Manor,,,,QuestTask,,,,,,,,
Quest: Vampyre Slayer,Quest,"Draynor Village, Central Varrock, Draynor Manor",,,,QuestTask,,,,,,,,
Quest: Imp Catcher,Quest,"Wizard Tower, Imps",,,,QuestTask,,,,,,,,
Quest: Prince Ali Rescue,Quest,"Al Kharid, Central Varrock, Bronze Ores, Clay Ore, Sheep, Spinning Wheel, Draynor Village",,,,QuestTask,,,,,,,,
Quest: Doric's Quest,Quest,"Dwarven Mountain Pass, Clay Ore, Iron Ore, Bronze Ores",Mining 15,,,QuestTask,,,,,,,,
Quest: Black Knights' Fortress,Quest,"Dwarven Mines, Falador, Monastery, Ice Mountain, Falador Farms",,Progressive Armor,12,QuestTask,,,,,,,,
Quest: Witch's Potion,Quest,"Rimmington, Port Sarim",,,,QuestTask,,,,,,,,
Quest: The Knight's Sword,Quest,"Falador, Varrock Palace, Mudskipper Point, South of Varrock, Windmill, Pie Dish, Port Sarim","Cooking 10, Mining 10",,,QuestTask,,,,,,,,
Quest: Goblin Diplomacy,Quest,"Goblin Village, Draynor Village, Falador, South of Varrock, Onion",,,,QuestTask,,,,,,,,
Quest: Pirate's Treasure,Quest,"Port Sarim, Karamja, Falador, Central Varrock",,,,QuestTask,,,,,,,,
Quest: Rune Mysteries,Quest,"Lumbridge, Wizard Tower, Central Varrock",,,,QuestTask,,,,,,,,
Quest: Misthalin Mystery,Quest,Lumbridge Swamp,,,,QuestTask,,,,,,,,
Quest: The Corsair Curse,Quest,"Rimmington, Falador Farms, Corsair Cove",,,,QuestTask,,,,,,,,
Quest: X Marks the Spot,Quest,"Lumbridge, Draynor Village, Port Sarim",,,,QuestTask,,,,,,,,
Quest: Below Ice Mountain,Quest,"Dwarven Mines, Dwarven Mountain Pass, Ice Mountain, Barbarian Village, Falador, Central Varrock, Edgeville",,,16,QuestTask,,,,,,,,
Quest: Dragon Slayer,Goal,"Crandor, South of Varrock, Edgeville, Lumbridge, Rimmington, Monastery, Dwarven Mines, Port Sarim, Draynor Village",,,32,QuestTask,,,,,,,,
Bury Some Big Bones,Prayer,Big Bones,Prayer 1,,,ItemOperationTask,201,Bury,532,,,,,
"Activate the ""Sharp Eye"" Prayer",Prayer,,Prayer 8,,,VarbitTask,201,4122,1,,,,,
"Activate the ""Rock Skin"" Prayer",Prayer,,Prayer 10,,,VarbitTask,201,4107,1,,,,,
"Activate the ""Protect Item"" Prayer",Prayer,,Prayer 25,,2,VarbitTask,201,4112,1,,,,,
Pray at the Edgeville Monastery,Prayer,Monastery,Prayer 31,,6,UniqueTask,,,,,,,,
Cast Bones To Bananas,Magic,Nature Runes,Magic 15,,,SpellTask,Bones To Bananas,,,,,,,
Cast Earth Strike,Magic,,Magic 9,,,SpellTask,Earth Strike,,,,,,,
Cast Curse,Magic,,Magic 19,,,SpellTask,Curse,,,,,,,
Teleport to Varrock,Magic,"Central Varrock, Law Runes",Magic 25,,,SpellTask,Varrock Teleport,,,,,,,
Teleport to Lumbridge,Magic,"Lumbridge, Law Runes",Magic 31,,,SpellTask,Lumbridge Teleport,,,,,,,
Telegrab a Gold Bar from the Varrock Bank,Magic,"Law Runes, West Varrock",Magic 33,,,UniqueTask,,,,,,,,
Teleport to Falador,Magic,"Falador, Law Runes",Magic 37,,6,SpellTask,Falador Teleport,,,,,,,
Craft an Air Rune,Runecraft,"Rune Essence, Falador Farms",Runecraft 1,,,CraftRunesTask,556,-1,,,,,,
Craft a Mind Rune,Runecraft,"Rune Essence, Goblin Village",Runecraft 2,,,CraftRunesTask,558,-1,,,,,,
Craft a Water Rune,Runecraft,"Rune Essence, Lumbridge Swamp",Runecraft 5,,,CraftRunesTask,555,-1,,,,,,
Craft an Earth Rune,Runecraft,"Rune Essence, Lumberyard",Runecraft 9,,,CraftRunesTask,557,-1,,,,,,
Craft a Fire Rune,Runecraft,"Rune Essence, Al Kharid",Runecraft 14,,,CraftRunesTask,554,-1,,,,,,
Craft a Body Rune,Runecraft,"Rune Essence, Dwarven Mountain Pass",Runecraft 20,,,CraftRunesTask,559,-1,,,,,,
Craft runes with a Mind Core,Runecraft,"Camdozaal, Goblin Village",Runecraft 2,,,CraftRunesTask,558,25696,,,,,,
Craft runes with a Body Core,Runecraft,"Camdozaal, Dwarven Mountain Pass",Runecraft 20,,,CraftRunesTask,559,25698,,,,,,
Craft a Pot,Crafting,"Clay Ore, Barbarian Village",Crafting 1,,,ChatMessageTask,207,"""You remove the pot from the oven.""",,,,,,
Craft a pair of Leather Boots,Crafting,"Milk, Al Kharid",Crafting 7,,,ChatMessageTask,207,"""You make a pair of leather boots.""",,,,,,
Make an Unblessed Symbol,Crafting,"Silver Ore, Furnace, Al Kharid, Sheep, Spinning Wheel",Crafting 16,,,ChatMessageTask,207,"""You put some string on your holy symbol.""",,,,,,
Cut a Sapphire,Crafting,Chisel,Crafting 20,,,ChatMessageTask,207,"""You cut the sapphire.""",,,,,,
Cut an Emerald,Crafting,Chisel,Crafting 27,,,ChatMessageTask,207,"""You cut the emerald.""",,,,,,
Cut a Ruby,Crafting,Chisel,Crafting 34,,4,ChatMessageTask,207,"""You cut the ruby.""",,,,,,
Enter the Crafting Guild,Crafting,Crafting Guild,Crafting 40,,,StandInPositionTask,207,2933,3288,0,,,,
Cut a Diamond,Crafting,Chisel,Crafting 43,,8,ChatMessageTask,207,"""You cut the diamond.""",,,,,,
Mine Copper,Crafting,Bronze Ores,Mining 1,,,ChatMessageTask,209,"""You manage to mine some copper.""",,,,,,
Mine Tin,Crafting,Bronze Ores,Mining 1,,,ChatMessageTask,209,"""You manage to mine some tin.""",,,,,,
Mine Clay,Crafting,Clay Ore,Mining 1,,,ChatMessageTask,209,"""You manage to mine some clay.""",,,,,,
Mine Iron,Mining,Iron Ore,Mining 1,,,ChatMessageTask,209,"""You manage to mine some iron.""",,,,,,
Mine a Blurite Ore,Mining,"Mudskipper Point, Port Sarim",Mining 10,,,ChatMessageTask,209,"""You manage to mine some blurite.""",,,,,,
Crush a Barronite Deposit,Mining,Camdozaal,Mining 14,,,ChatMessageTask,209,"""You crush a barronite deposit with your hammer.""",,,,,,
Mine Silver,Mining,Silver Ore,Mining 20,,,ChatMessageTask,209,"""You manage to mine some silver.""",,,,,,
Mine Coal,Mining,Coal Ore,Mining 30,,2,ChatMessageTask,209,"""You manage to mine some coal.""",,,,,,
Mine Gold,Mining,Gold Ore,Mining 40,,6,ChatMessageTask,209,"""You manage to mine some gold.""",,,,,,
Smelt a Bronze Bar,Smithing,"Bronze Ores, Furnace","Smithing 1, Mining 1",,,ChatMessageTask,210,"""You retrieve a bar of bronze.""",,,,,,
Smelt an Iron Bar,Smithing,"Iron Ore, Furnace","Smithing 15, Mining 15",,,ChatMessageTask,210,"""You retrieve a bar of iron.""",,,,,,
Smelt a Silver Bar,Smithing,"Silver Ore, Furnace","Smithing 20, Mining 20",,,ChatMessageTask,210,"""You retrieve a bar of silver from the furnace.""",,,,,,
Smelt a Steel Bar,Smithing,"Coal Ore, Iron Ore, Furnace","Smithing 30, Mining 30",,2,ChatMessageTask,210,"""You retrieve a bar of steel.""",,,,,,
Smelt a Gold Bar,Smithing,"Gold Ore, Furnace","Smithing 40, Mining 40",,6,ChatMessageTask,210,"""You retrieve a bar of gold from the furnace.""",,,,,,
Catch a Sardine,Fishing,Shrimp Spot,Fishing 5,,,ChatMessageTask,211,"""You catch a raw sardine.""",,,,,,
Catch some Anchovies,Fishing,Shrimp Spot,Fishing 15,,,ChatMessageTask,211,"""You catch some anchovies.""",,,,,,
Catch a Trout,Fishing,Fly Fishing Spot,Fishing 20,,,ChatMessageTask,211,"""You catch a trout.""",,,,,,
Prepare a Tetra,Fishing,Camdozaal,"Fishing 33, Cooking 33",,2,ChatMessageTask,211,"""You successfully prepare the Tetra.""",,,,,,
Catch a Lobster,Fishing,Lobster Spot,Fishing 40,,6,ChatMessageTask,211,"""You catch a lobster.""",,,,,,
Catch a Swordfish,Fishing,Lobster Spot,Fishing 50,,12,ChatMessageTask,211,"""You catch a swordfish.""",,,,,,
Bake a Redberry Pie,Cooking,"Redberry Bush, Wheat, Windmill, Pie Dish",Cooking 10,,,ChatMessageTask,212,"""You successfully bake a delicious redberry pie.""",,,,,,
Cook some Stew,Cooking,"Bowl, Meat, Potato",Cooking 25,,,ChatMessageTask,212,"""You cook some stew.""",,,,,,
Bake an Apple Pie,Cooking,"Cooking Apple, Wheat, Windmill, Pie Dish",Cooking 32,,2,ChatMessageTask,212,"""You successfully bake a traditional apple pie.""",,,,,,
Enter the Cook's Guild,Cooking,Cook's Guild,,,,StandInPositionTask,212,3143,3444,0,,,,
Bake a Cake,Cooking,"Wheat, Windmill, Egg, Milk, Cake Tin",Cooking 40,,6,ChatMessageTask,212,"""You successfully bake a cake.""",,,,,,
Bake a Meat Pizza,Cooking,"Wheat, Windmill, Cheese, Tomato, Meat",Cooking 45,,8,ChatMessageTask,212,"""You add the meat to the pizza.""",,,,,,
Burn a Log,Firemaking,,"Firemaking 1, Woodcutting 1",,,BurnLogsTask,1,40,,,,,,
Burn some Oak Logs,Firemaking,Oak Tree,"Firemaking 15, Woodcutting 15",,,BurnLogsTask,15,60,,,,,,
Burn some Willow Logs,Firemaking,Willow Tree,"Firemaking 30, Woodcutting 30",,,BurnLogsTask,30,90,,,,,,
Travel on a Canoe,Woodcutting,Canoe Tree,Woodcutting 12,,,ChatMessageTask,214,"""Your canoe sinks into the water after the hard journey.""",,,,,,
Cut an Oak Log,Woodcutting,Oak Tree,Woodcutting 15,,,ChatMessageTask,214,"""You get some oak logs.""",,,,,,
Cut a Willow Log,Woodcutting,Willow Tree,Woodcutting 30,,,ChatMessageTask,214,"""You get some willow logs.""",,,,,,
Kill a Duck,Combat,Duck,Combat 1,,,KillTask,Duck,,,,,,,
Kill Jeff,Combat,Dwarven Mountain Pass,Combat 2,,,KillTask,Jeff,,,,,,,
Kill a Goblin,Combat,Goblin,Combat 2,,,KillTask,Goblin,,,,,,,
Kill a Monkey,Combat,Karamja,Combat 3,,,KillTask,Monkey,,,,,,,
Kill a Barbarian,Combat,Barbarian,Combat 10,,,KillTask,Barbarian,,,,,,,
Kill a Giant Frog,Combat,Lumbridge Swamp,Combat 13,,,KillTask,Giant Frog,,,,,,,
Kill a Zombie,Combat,Zombie,Combat 13,,,KillTask,Zombie,,,,,,,
Kill a Guard,Combat,Guard,Combat 21,,,KillTask,Guard,,,,,,,
Kill a Hill Giant,Combat,Hill Giant,Combat 28,,2,KillTask,Hill Giant,,,,,,,
Kill a Deadly Red Spider,Combat,Deadly Red Spider,Combat 34,,2,KillTask,Deadly Red Spider,,,,,,,
Kill a Moss Giant,Combat,Moss Giant,Combat 42,,2,KillTask,Moss Giant,,,,,,,
Kill a Catablepon,Combat,Barbarian Village,Combat 49,,4,KillTask,Catablepon,,,,,,,
Kill an Ice Giant,Combat,Ice Giant,Combat 53,,4,KillTask,Ice Giant,,,,,,,
Kill a Lesser Demon,Combat,Lesser Demon,Combat 82,,8,KillTask,Lesser Demon,,,,,,,
Kill an Ogress Shaman,Combat,Corsair Cove,Combat 82,,8,KillTask,Ogress Shaman,,,,,,,
Kill Obor,Combat,Edgeville,Combat 106,,28,KillTask,Obor,,,,,,,
Kill Bryophyta,Combat,Central Varrock,Combat 128,,28,KillTask,Bryophyta,,,,,,,
Die,General,,,,,ChatMessageTask,439,"""Oh dear, you are dead!""",,,,,,
Reach a Level 10,General,,,,,LevelMilestoneTask,10,,,,,,,
Reach a Level 20,General,,,,,LevelMilestoneTask,20,,,,,,,
Reach a Level 30,General,,,,2,LevelMilestoneTask,30,,,,,,,
Reach a Level 40,General,,,,6,LevelMilestoneTask,40,,,,,,,
"Total XP 5,000",General,,,,,TotalXPTask,5000,,,,,,,
Combat Level 5,General,,,,,CombatLevelTask,5,,,,,,,
"Total XP 10,000",General,,,,,TotalXPTask,10000,,,,,,,
Total Level 50,General,,,,,TotalLevelTask,50,,,,,,,
"Total XP 25,000",General,,,,,TotalXPTask,25000,,,,,,,
Total Level 100,General,,,,,TotalLevelTask,100,,,,,,,
"Total XP 50,000",General,,,,,TotalXPTask,50000,,,,,,,
Combat Level 15,General,,,,,CombatLevelTask,15,,,,,,,
Total Level 150,General,,,,2,TotalLevelTask,150,,,,,,,
"Total XP 75,000",General,,,,2,TotalXPTask,75000,,,,,,,
Combat Level 25,General,,,,2,CombatLevelTask,25,,,,,,,
"Total XP 100,000",General,,,,6,TotalXPTask,100000,,,,,,,
Total Level 200,General,,,,6,TotalLevelTask,200,,,,,,,
"Total XP 125,000",General,,,,6,TotalXPTask,125000,,,,,,,
Combat Level 30,General,,,,10,CombatLevelTask,30,,,,,,,
Total Level 250,General,,,,10,TotalLevelTask,250,,,,,,,
"Total XP 150,000",General,,,,10,TotalXPTask,150000,,,,,,,
Total Level 300,General,,,,16,TotalLevelTask,300,,,,,,,
Combat Level 40,General,,,,16,CombatLevelTask,40,,,,,,,
Open a Simple Lockbox,General,Camdozaal,,,,UniqueTask,,,,,,,,
Open an Elaborate Lockbox,General,Camdozaal,,,,UniqueTask,,,,,,,,
Open an Ornate Lockbox,General,Camdozaal,,,,UniqueTask,,,,,,,,
Trans your Gender,General,Makeover,,,,VarbitChangedTask,1439,261,,,,,,
Read a Flyer from Ali the Leaflet Dropper,General,"Al Kharid, South of Varrock",,,,ItemOperationTask,1439,Read,7922,,,,,
Cry by the Members Gate to Taverley,General,Dwarven Mountain Pass,,,,EmoteInAreaTask,1439,Cry,2936,3454,0,2944,3449,0
Get Prompted to Buy Membership,General,,,,,WidgetOpenTask,1439,18612228,,,,,,
Pet the Stray Dog in Varrock,General,"Central Varrock, West Varrock, South of Varrock",,,,MenuActionTask,1439,Pet,Stray Dog,,,,,
Get Sent to Jail in Shantay Pass,General,"Al Kharid, Port Sarim",,,,ChatMessageTask,1439,"""You find yourself in a prison.""",,,,,,
Have the Apothecary Make a Strength Potion,General,"Central Varrock, Deadly Red Spider, Limpwurt Root",,,,UniqueTask,,,,,,,,
