Team,Level,Source,Target,Rule,Notes
Chaotix,Bingo Highway,Start,ObjSanity,,
Chaotix,Bingo Highway,ObjSanity,Start,,
Chaotix,Bingo Highway,Start,Bonus Key 1,,
Chaotix,Bingo Highway,Bonus Key 1,Start,,
Chaotix,Bingo Highway,Start,Bonus Key 2,,
Chaotix,Bingo Highway,Bonus Key 2,Start,,
Chaotix,Bingo Highway,Start,Bonus Key 3,,
Chaotix,Bingo Highway,Bonus Key 3,Start,,
Chaotix,Bingo Highway,Start,Checkpoint 1,,
Chaotix,Bingo Highway,Checkpoint 1,Start,,
Chaotix,Bingo Highway,Start,Checkpoint 2,,
Chaotix,Bingo Highway,Checkpoint 2,Start,,
Chaotix,Bingo Highway,Start,Goal,,
