Team,Level,Source,Target,Rule,Notes
Dark,Bingo Highway,Start,ObjSanity,,
Dark,Bingo Highway,ObjSanity,Start,,
Dark,Bingo Highway,Start,Bonus Key 1,,
Dark,Bingo Highway,Bonus Key 1,Start,,
Dark,Bingo Highway,Start,Bonus Key 2,,
Dark,Bingo Highway,Bonus Key 2,Start,,
Dark,Bingo Highway,Start,Bonus Key 3,,
Dark,Bingo Highway,Bonus Key 3,Start,,
Dark,Bingo Highway,Start,Checkpoint 1,,
Dark,Bingo Highway,Checkpoint 1,Start,,
Dark,Bingo Highway,Start,Checkpoint 2,,
Dark,Bingo Highway,Checkpoint 2,Start,,
Dark,Bingo Highway,Start,Checkpoint 3,,
Dark,Bingo Highway,Checkpoint 3,Start,,
Dark,Bingo Highway,Start,Checkpoint 4,,
Dark,Bingo Highway,Checkpoint 4,Start,,
Dark,Bingo Highway,Start,Goal,,
