Team,Level,Source,Target,Rule,Notes
Rose,Bingo Highway,Start,ObjSanity,,
Rose,Bingo Highway,ObjSanity,Start,,
Rose,Bingo Highway,Start,Bonus Key 1,,
Rose,Bingo Highway,Bonus Key 1,Start,,
Rose,Bingo Highway,Start,Bonus Key 2,,
Rose,Bingo Highway,Bonus Key 2,Start,,
Rose,Bingo Highway,Start,Bonus Key 3,,
Rose,Bingo Highway,Bonus Key 3,Start,,
Rose,Bingo Highway,Start,Checkpoint 1,,
Rose,Bingo Highway,Checkpoint 1,Start,,
Rose,Bingo Highway,Start,Checkpoint 2,,
Rose,Bingo Highway,Checkpoint 2,Start,,
Rose,Bingo Highway,Start,Checkpoint 3,,
Rose,Bingo Highway,Checkpoint 3,Start,,
Rose,Bingo Highway,Start,Goal,,
