Team,Level,Source,Target,Rule,Notes
Sonic,Bingo Highway,Start,First Pinball,PinballSonicBH,
Sonic,Bingo Highway,First Pinball,Optional Second Pinball,PinballSonicBH,
Sonic,Bingo Highway,First Pinball,First Red Carpet,PinballSonicBH,
Sonic,Bingo Highway,First Pinball,First Door,PinballSonicBH,
Sonic,Bingo Highway,First Red Carpet,First Door,(FlyingAnyorKillFlyingEnemyGreenLightning)andSingleSpringSonicBH,Green Flapper with lightning
Sonic,Bingo Highway,First Door,First Fan Hallway,KillFlyingEnemyYellowLightHomingFireDunkSonicBH,Yellow Flapper searchlight spawns pawns (not in logic)
Sonic,Bingo Highway,First Fan Hallway,First Door,TeamBlastSonicBH,can team blast through door
Sonic,Bingo Highway,First Fan Hallway,First Glass Floor,FanandGlideSonicBH,
Sonic,Bingo Highway,First Glass Floor,First Fan Hallway,FlyingAnySonicBH,
Sonic,Bingo Highway,First Glass Floor,Bonus Key 1,,
Sonic,Bingo Highway,First Glass Floor,Ball Slide with Spring,BreakGlassFloorSonicBH,
Sonic,Bingo Highway,Ball Slide with Spring,Roulette Floor with Floating Dice,SingleSpringSonicBH,
Sonic,Bingo Highway,Roulette Floor with Floating Dice,Roulette Floor with Floating Dice Case,KillFlyingEnemySilverArmorFireDunkSonicBH,silver armor with searchlight spawns pawns (need power anyway)
Sonic,Bingo Highway,Roulette Floor with Floating Dice Case,Floating Dice Before Checkpoint 1,FloatingDiceandSwitchSonicBH,
Sonic,Bingo Highway,Floating Dice Before Checkpoint 1,Checkpoint 1,,
Sonic,Bingo Highway,Checkpoint 1,Platform Below Checkpoint 2,,
Sonic,Bingo Highway,Checkpoint 1,Checkpoint 2,FlyingAnySonicBH,can glide or rocket accel here
Sonic,Bingo Highway,Checkpoint 1,First Bingo Pinball,GongandPinballandSingleSpringSonicBH,
Sonic,Bingo Highway,Roulette Floor with Floating Dice,Optional Third Pinball,,
Sonic,Bingo Highway,Optional Third Pinball,Platform Below Checkpoint 2,DashRingSonicBH,
