Team,Level,Source,Target,Rule,Notes
Chaotix,Bullet Station,Start,ObjSanity,,
Chaotix,Bullet Station,ObjSanity,Start,,
Chaotix,Bullet Station,Start,Bonus Key 1,,
Chaotix,Bullet Station,Bonus Key 1,Start,,
Chaotix,Bullet Station,Start,Bonus Key 2,,
Chaotix,Bullet Station,Bonus Key 2,Start,,
Chaotix,Bullet Station,Start,Bonus Key 3,,
Chaotix,Bullet Station,Bonus Key 3,Start,,
Chaotix,Bullet Station,Start,Checkpoint 1,,
Chaotix,Bullet Station,Checkpoint 1,Start,,
Chaotix,Bullet Station,Start,Checkpoint 2,,
Chaotix,Bullet Station,Checkpoint 2,Start,,
Chaotix,Bullet Station,Start,Checkpoint 3,,
Chaotix,Bullet Station,Checkpoint 3,Start,,
Chaotix,Bullet Station,Start,Checkpoint 4,,
Chaotix,Bullet Station,Checkpoint 4,Start,,
Chaotix,Bullet Station,Start,Goal,,
