Team,Level,Source,Target,Rule,Notes
Dark,Bullet Station,Start,ObjSanity,,
Dark,Bullet Station,ObjSanity,Start,,
Dark,Bullet Station,Start,Bonus Key 1,,
Dark,Bullet Station,Bonus Key 1,Start,,
Dark,Bullet Station,Start,Bonus Key 2,,
Dark,Bullet Station,Bonus Key 2,Start,,
Dark,Bullet Station,Start,Bonus Key 3,,
Dark,Bullet Station,Bonus Key 3,Start,,
Dark,Bullet Station,Start,Checkpoint 1,,
Dark,Bullet Station,Checkpoint 1,Start,,
Dark,Bullet Station,Start,Checkpoint 2,,
Dark,Bullet Station,Checkpoint 2,Start,,
Dark,Bullet Station,Start,Checkpoint 3,,
Dark,Bullet Station,Checkpoint 3,Start,,
Dark,Bullet Station,Start,Checkpoint 4,,
Dark,Bullet Station,Checkpoint 4,Start,,
Dark,Bullet Station,Start,Checkpoint 5,,
Dark,Bullet Station,Checkpoint 5,Start,,
Dark,Bullet Station,Start,Goal,,
