Team,Level,Source,Target,Rule,Notes
Rose,Bullet Station,Start,ObjSanity,,
Rose,Bullet Station,ObjSanity,Start,,
Rose,Bullet Station,Start,Bonus Key 1,,
Rose,Bullet Station,Bonus Key 1,Start,,
Rose,Bullet Station,Start,Bonus Key 2,,
Rose,Bullet Station,Bonus Key 2,Start,,
Rose,Bullet Station,Start,Bonus Key 3,,
Rose,Bullet Station,Bonus Key 3,Start,,
Rose,Bullet Station,Start,Checkpoint 1,,
Rose,Bullet Station,Checkpoint 1,Start,,
Rose,Bullet Station,Start,Checkpoint 2,,
Rose,Bullet Station,Checkpoint 2,Start,,
Rose,Bullet Station,Start,Goal,,
