Team,Level,Source,Target,Rule,Notes
Sonic,Bullet Station,Start,Rail Start,,
Sonic,Bullet Station,Rail Start,Ground Start,RailSonicBS,
Sonic,Bullet Station,Ground Start,Hallway Upper,TriangleJumpSonicBS,
Sonic,Bullet Station,Ground Start,Hallway Lower,,
Sonic,Bullet Station,Hallway Lower,Ground Start,,
Sonic,Bullet Station,Hallway Upper,Ground Corner,TriangleJumpSonicBS,
Sonic,Bullet Station,Hallway Lower,Ground Corner,RailSonicBS,
Sonic,Bullet Station,Ground Corner,Hallway Lower,,
Sonic,Bullet Station,Ground Corner,Lower Pit with Weight,,
Sonic,Bullet Station,Lower Pit with Weight,Ground Corner,FlyingAnyorWeightSonicBS,
Sonic,Bullet Station,Ground Corner,Curved Ground Before First Train Cave,,
Sonic,Bullet Station,Curved Ground Before First Train Cave,Bonus Key 1,,
Sonic,Bullet Station,Curved Ground Before First Train Cave,First Train Cave Grate,FlyingAnySonicBS,
Sonic,Bullet Station,First Train Cave Grate,First Train Cave Only Car,FireDunkandTPObjSonicBS,
Sonic,Bullet Station,First Train Cave Only Car,Checkpoint 1,,
Sonic,Bullet Station,Checkpoint 1,First Train Cave Only Car,,
Sonic,Bullet Station,First Train Cave Only Car,First Train Cave Core,BreakandEngineCoreSonicBS,
Sonic,Bullet Station,First Train Cave Core,Rail After First Train Cave,BreakandRailSonicBS,
Sonic,Bullet Station,Rail After First Train Cave,Rail After First Train Cave Part 2,SingleSpringandRailSonicBS,
Sonic,Bullet Station,Rail After First Train Cave Part 2,First Circle Ground Bottom,RailSonicBS,
Sonic,Bullet Station,Rail After First Train Cave Part 2,First Circle Ground Top,,
Sonic,Bullet Station,First Circle Ground Bottom,First Circle Ground Bottom Cannon,CannonSonicBS,
Sonic,Bullet Station,First Circle Ground Bottom,Bonus Key 2 Island,FlyingAnyandRailSonicBS,
Sonic,Bullet Station,Bonus Key 2 Island,Bonus Key 2,,
Sonic,Bullet Station,Bonus Key 2 Island,First Circle Ground Bottom,RailSonicBS,
Sonic,Bullet Station,First Circle Ground Bottom Cannon,First Circle Ground Bottom Cannon Speed,CannonSpeedSonicBS,
Sonic,Bullet Station,First Circle Ground Bottom Cannon,First Circle Ground Bottom Cannon Flying,CannonFlyingSonicBS,
Sonic,Bullet Station,First Circle Ground Bottom Cannon,First Circle Ground Bottom Cannon Power,CannonPowerSonicBS,
Sonic,Bullet Station,First Circle Ground Bottom Cannon Speed,Platform With 3 Rails Speed Cannon Route,RailandSingleSpringand3RailPlatformSonicBS,
Sonic,Bullet Station,First Circle Ground Bottom Cannon Flying,First Circle Ground Top,,
Sonic,Bullet Station,First Circle Ground Bottom Cannon Power,Bonus Key 2 Island,,
Sonic,Bullet Station,Platform With 3 Rails Speed Cannon Route,First Circle Ground Top,,
Sonic,Bullet Station,First Circle Ground Top,First Circle Ground Bottom,,
Sonic,Bullet Station,First Circle Ground Top,First Circle Ground Top Case,KillGroundEnemyPlainShieldSonicBS,
Sonic,Bullet Station,First Circle Ground Top Case,Third Rail,RailandRailSwitchandSwitchableRailSonicBS,
Sonic,Bullet Station,Third Rail,Ground At Checkpoint 2,RailandRailSwitchandSwitchableRailSonicBS,
Sonic,Bullet Station,Ground At Checkpoint 2,Checkpoint 2,,
Sonic,Bullet Station,Checkpoint 2,Ground At Checkpoint 2,,
Sonic,Bullet Station,Ground At Checkpoint 2,Pit After Checkpoint 2,,
Sonic,Bullet Station,Ground At Checkpoint 2,Fan After Checkpoint 2,,
Sonic,Bullet Station,Pit After Checkpoint 2,Pit After Checkpoint 2 Case,BreakandSwitchSonicBS,
