Team,Level,Source,Target,Rule,Notes
Chaotix,Casino Park,Start,ObjSanity,,
Chaotix,Casino Park,ObjSanity,Start,,
Chaotix,Casino Park,Start,Bonus Key 1,,
Chaotix,Casino Park,Bonus Key 1,Start,,
Chaotix,Casino Park,Start,Bonus Key 2,,
Chaotix,Casino Park,Bonus Key 2,Start,,
Chaotix,Casino Park,Start,Bonus Key 3,,
Chaotix,Casino Park,Bonus Key 3,Start,,
Chaotix,Casino Park,Start,Checkpoint 1,,
Chaotix,Casino Park,Checkpoint 1,Start,,
Chaotix,Casino Park,Start,Checkpoint 2,,
Chaotix,Casino Park,Checkpoint 2,Start,,
Chaotix,Casino Park,Start,Checkpoint 3,,
Chaotix,Casino Park,Checkpoint 3,Start,,
Chaotix,Casino Park,Start,Goal,,
