Team,Level,Source,Target,Rule,Notes
Dark,Casino Park,Start,ObjSanity,,
Dark,Casino Park,ObjSanity,Start,,
Dark,Casino Park,Start,Bonus Key 1,,
Dark,Casino Park,Bonus Key 1,Start,,
Dark,Casino Park,Start,Bonus Key 2,,
Dark,Casino Park,Bonus Key 2,Start,,
Dark,Casino Park,Start,Bonus Key 3,,
Dark,Casino Park,Bonus Key 3,Start,,
Dark,Casino Park,Start,Checkpoint 1,,
Dark,Casino Park,Checkpoint 1,Start,,
Dark,Casino Park,Start,Checkpoint 2,,
Dark,Casino Park,Checkpoint 2,Start,,
Dark,Casino Park,Start,Checkpoint 3,,
Dark,Casino Park,Checkpoint 3,Start,,
Dark,Casino Park,Start,Goal,,
