Team,Level,Source,Target,Rule,Notes
Sonic,Casino Park,Start,First Cannon,SpringSonicCP,
Sonic,Casino Park,First Cannon,First Pinball,,
Sonic,Casino Park,First Pinball,Top of First Pinball,PinballandSingleSpringSonicCP,"flipper, large bumper, star panel, bumper, arrow, single spring"
Sonic,Casino Park,Top of First Pinball,Red Carpet Room,,
Sonic,Casino Park,Red Carpet Room,Lower Platform with Triple Spring,,
Sonic,Casino Park,Lower Platform with Triple Spring,Lower Platform End,,
Sonic,Casino Park,Lower Platform End,Lower Platform with Triple Spring,,
Sonic,Casino Park,Lower Platform End,Triple Spring after Star Panels,FlyingAnyorGlideorHomingorStarPanelSonicCP,star panel homing glide flying (might be possible with nothing)
Sonic,Casino Park,Triple Spring after Star Panels,Lower Platform End,FlyingAnyorGlideorHomingorStarPanelSonicCP,
Sonic,Casino Park,Triple Spring after Star Panels,First Casino Door ,TripleSpringSonicCP,
Sonic,Casino Park,First Casino Door ,Triple Spring after Star Panels,,
Sonic,Casino Park,Red Carpet Room,Top Platform with Switch,FlyingAnyorGreenBumperSpringSonicCP,
Sonic,Casino Park,Top Platform with Switch,Red Carpet Room,FlyingAnyorGreenBumperSpringSonicCP,
Sonic,Casino Park,Top Platform with Switch,Triple Spring after Star Panels,LightDashandSwitchSonicCP,
Sonic,Casino Park,First Casino Door ,Top Platform with Switch,FlyingAnyorGlideorRocketAccelSonicCP,
Sonic,Casino Park,First Casino Door ,Bonus Key 1,PushPullSwitchSonicCP,
Sonic,Casino Park,Bonus Key 1,First Glass Floor,,
Sonic,Casino Park,First Glass Floor,Second Pinball,BreakGlassFloorSonicCP,
Sonic,Casino Park,Second Pinball,Third Pinball,PinballSonicCP,
Sonic,Casino Park,Third Pinball,Platform Under Third Pinball,PinballSonicCP,
Sonic,Casino Park,Platform Under Third Pinball,Triple Spring Under Third Pinball,FloatingDiceorFlyingAnySonicCP,
