Team,Level,Source,Target,Rule,Notes
Chaotix,Egg Fleet,Start,ObjSanity,,
Chaotix,Egg Fleet,ObjSanity,Start,,
Chaotix,Egg Fleet,Start,Bonus Key 1,,
Chaotix,Egg Fleet,Bonus Key 1,Start,,
Chaotix,Egg Fleet,Start,Bonus Key 2,,
Chaotix,Egg Fleet,Bonus Key 2,Start,,
Chaotix,Egg Fleet,Start,Bonus Key 3,,
Chaotix,Egg Fleet,Bonus Key 3,Start,,
Chaotix,Egg Fleet,Start,Checkpoint 1,,
Chaotix,Egg Fleet,Checkpoint 1,Start,,
Chaotix,Egg Fleet,Start,Checkpoint 2,,
Chaotix,Egg Fleet,Checkpoint 2,Start,,
Chaotix,Egg Fleet,Start,Checkpoint 3,,
Chaotix,Egg Fleet,Checkpoint 3,Start,,
Chaotix,Egg Fleet,Start,Checkpoint 4,,
Chaotix,Egg Fleet,Checkpoint 4,Start,,
Chaotix,Egg Fleet,Start,Goal,,
