Team,Level,Source,Target,Rule,Notes
Dark,Egg Fleet,Start,ObjSanity,,
Dark,Egg Fleet,ObjSanity,Start,,
Dark,Egg Fleet,Start,Bonus Key 1,,
Dark,Egg Fleet,Bonus Key 1,Start,,
Dark,Egg Fleet,Start,Bonus Key 2,,
Dark,Egg Fleet,Bonus Key 2,Start,,
Dark,Egg Fleet,Start,Bonus Key 3,,
Dark,Egg Fleet,Bonus Key 3,Start,,
Dark,Egg Fleet,Start,Checkpoint 1,,
Dark,Egg Fleet,Checkpoint 1,Start,,
Dark,Egg Fleet,Start,Checkpoint 2,,
Dark,Egg Fleet,Checkpoint 2,Start,,
Dark,Egg Fleet,Start,Checkpoint 3,,
Dark,Egg Fleet,Checkpoint 3,Start,,
Dark,Egg Fleet,Start,Checkpoint 4,,
Dark,Egg Fleet,Checkpoint 4,Start,,
Dark,Egg Fleet,Start,Checkpoint 5,,
Dark,Egg Fleet,Checkpoint 5,Start,,
Dark,Egg Fleet,Start,Goal,,
