Team,Level,Source,Target,Rule,Notes
Rose,Egg Fleet,Start,ObjSanity,,
Rose,Egg Fleet,ObjSanity,Start,,
Rose,Egg Fleet,Start,Bonus Key 1,,
Rose,Egg Fleet,Bonus Key 1,Start,,
Rose,Egg Fleet,Start,Bonus Key 2,,
Rose,Egg Fleet,Bonus Key 2,Start,,
Rose,Egg Fleet,Start,Bonus Key 3,,
Rose,Egg Fleet,Bonus Key 3,Start,,
Rose,Egg Fleet,Start,Checkpoint 1,,
Rose,Egg Fleet,Checkpoint 1,Start,,
Rose,Egg Fleet,Start,Checkpoint 2,,
Rose,Egg Fleet,Checkpoint 2,Start,,
Rose,Egg Fleet,Start,Checkpoint 3,,
Rose,Egg Fleet,Checkpoint 3,Start,,
Rose,Egg Fleet,Start,Goal,,
