Team,Level,Source,Target,Rule,Notes
Sonic,Egg Fleet,Start,Start Rail,DashRampSonicEF,
Sonic,Egg Fleet,Start Rail,Platforms At Start Rail,,
Sonic,Egg Fleet,Start Rail,First Ship,,
Sonic,Egg Fleet,First Ship,First Ship After Door,KillGroundEnemyNothingSonicEF,
Sonic,Egg Fleet,First Ship After Door,First Ship,NOTPOSSIBLE,Maybe as door seems to not spawn? Or not close from behind?
Sonic,Egg Fleet,First Ship After Door,First Ship After Door Pole,PoleSonicEF,
Sonic,Egg Fleet,First Ship After Door Pole,Path After First Ship Lower,PoleSonicEF,
Sonic,Egg Fleet,Path After First Ship Lower,First Ship After Door,,
Sonic,Egg Fleet,Path After First Ship Lower,Path After First Ship Upper,TripleSpringSonicEF,
Sonic,Egg Fleet,Path After First Ship Upper,Path After First Ship Lower,,
Sonic,Egg Fleet,Path After First Ship Upper,Path After First Ship Upper Platform Above Cannon,FlyingAnySonicEF,might be possible with Tri Jump and Tornado (really precise)
Sonic,Egg Fleet,Path After First Ship Upper Platform Above Cannon,Path After First Ship Upper,,
Sonic,Egg Fleet,Path After First Ship Upper,Path After First Ship Upper Cannon,CannonSonicEF,
Sonic,Egg Fleet,Path After First Ship Upper Cannon,Path After First Ship Upper Cannon Speed,CannonSpeedSonicEF,
Sonic,Egg Fleet,Path After First Ship Upper Cannon Speed,Bottom Walkway With 2 Cannons After First Ship,,
Sonic,Egg Fleet,Path After First Ship Upper Cannon,Path After First Ship Upper Cannon Flying,CannonFlyingSonicEF,
Sonic,Egg Fleet,Path After First Ship Upper Cannon Flying,Top Route With Rail After First Ship,DashRingSonicEF,
Sonic,Egg Fleet,Path After First Ship Upper Cannon,Path After First Ship Upper Cannon Power,CannonPowerSonicEF,
Sonic,Egg Fleet,Path After First Ship Upper Cannon Power,Bottom Walkway With 2 Cannons After First Ship,,
Sonic,Egg Fleet,Path After First Ship Upper Platform Above Cannon,Top Route With Rail After First Ship,DashRingandFlyingAnySonicEF,
Sonic,Egg Fleet,Path After First Ship Upper Platform Above Cannon,Bottom Walkway With 2 Cannons After First Ship,FlyingAnySonicEF,
Sonic,Egg Fleet,Bottom Walkway With 2 Cannons After First Ship,Bottom Walkway With 2 Cannons After First Ship Fan,FanSonicEF,
Sonic,Egg Fleet,Bottom Walkway With 2 Cannons After First Ship,Top Route With Rail After First Ship,KillGroundEnemyCannonandSingleSpringSonicEF,
Sonic,Egg Fleet,Top Route With Rail After First Ship,Bottom Walkway With 2 Cannons After First Ship,,
Sonic,Egg Fleet,Top Route With Rail After First Ship,Path After First Ship Upper Platform Above Cannon,FlyingAnySonicEF,
Sonic,Egg Fleet,Bottom Walkway With 2 Cannons After First Ship,Bottom Route Walkway After First Ship,FlyingAnyorTripleSpringSonicEF,
Sonic,Egg Fleet,Bottom Route Walkway After First Ship,Bottom Walkway With 2 Cannons After First Ship,,
Sonic,Egg Fleet,Bottom Route Walkway After First Ship,Top Route With Rail After First Ship,FlyingAnySonicEF,
Sonic,Egg Fleet,Bottom Route Walkway After First Ship,Bottom Route Walkway After First Ship Cannon,CannonSonicEF,
Sonic,Egg Fleet,Bottom Route Walkway After First Ship Cannon,Bottom Route Walkway After First Ship Cannon Speed,CannonSpeedSonicEF,
