Team,Level,Source,Target,Rule,Notes
Super Hard Mode,Egg Fleet,Start,Checkpoint 1,,
Super Hard Mode,Egg Fleet,Checkpoint 1,Start,,
Super Hard Mode,Egg Fleet,Start,Checkpoint 2,,
Super Hard Mode,Egg Fleet,Checkpoint 2,Start,,
Super Hard Mode,Egg Fleet,Start,Checkpoint 3,,
Super Hard Mode,Egg Fleet,Checkpoint 3,Start,,
Super Hard Mode,Egg Fleet,Start,Checkpoint 4,,
Super Hard Mode,Egg Fleet,Checkpoint 4,Start,,
Super Hard Mode,Egg Fleet,Start,Checkpoint 5,,
Super Hard Mode,Egg Fleet,Checkpoint 5,Start,,
Super Hard Mode,Egg Fleet,Start,Goal,,
