Team,Level,Source,Target,Rule,Notes
Chaotix,Final Fortress,Start,ObjSanity,,
Chaotix,Final Fortress,ObjSanity,Start,,
Chaotix,Final Fortress,Start,Bonus Key 1,,
Chaotix,Final Fortress,Bonus Key 1,Start,,
Chaotix,Final Fortress,Start,Bonus Key 2,,
Chaotix,Final Fortress,Bonus Key 2,Start,,
Chaotix,Final Fortress,Start,Bonus Key 3,,
Chaotix,Final Fortress,Bonus Key 3,Start,,
Chaotix,Final Fortress,Start,Checkpoint 1,,
Chaotix,Final Fortress,Checkpoint 1,Start,,
Chaotix,Final Fortress,Start,Checkpoint 2,,
Chaotix,Final Fortress,Checkpoint 2,Start,,
Chaotix,Final Fortress,Start,Checkpoint 3,,
Chaotix,Final Fortress,Checkpoint 3,Start,,
Chaotix,Final Fortress,Start,Goal,,
