Team,Level,Source,Target,Rule,Notes
Dark,Final Fortress,Start,ObjSanity,,
Dark,Final Fortress,ObjSanity,Start,,
Dark,Final Fortress,Start,Bonus Key 1,,
Dark,Final Fortress,Bonus Key 1,Start,,
Dark,Final Fortress,Start,Bonus Key 2,,
Dark,Final Fortress,Bonus Key 2,Start,,
Dark,Final Fortress,Start,Bonus Key 3,,
Dark,Final Fortress,Bonus Key 3,Start,,
Dark,Final Fortress,Start,Checkpoint 1,,
Dark,Final Fortress,Checkpoint 1,Start,,
Dark,Final Fortress,Start,Checkpoint 2,,
Dark,Final Fortress,Checkpoint 2,Start,,
Dark,Final Fortress,Start,Checkpoint 3,,
Dark,Final Fortress,Checkpoint 3,Start,,
Dark,Final Fortress,Start,Goal,,
