Team,Level,Source,Target,Rule,Notes
Rose,Final Fortress,Start,ObjSanity,,
Rose,Final Fortress,ObjSanity,Start,,
Rose,Final Fortress,Start,Bonus Key 1,,
Rose,Final Fortress,Bonus Key 1,Start,,
Rose,Final Fortress,Start,Bonus Key 2,,
Rose,Final Fortress,Bonus Key 2,Start,,
Rose,Final Fortress,Start,Bonus Key 3,,
Rose,Final Fortress,Bonus Key 3,Start,,
Rose,Final Fortress,Start,Checkpoint 1,,
Rose,Final Fortress,Checkpoint 1,Start,,
Rose,Final Fortress,Start,Checkpoint 2,,
Rose,Final Fortress,Checkpoint 2,Start,,
Rose,Final Fortress,Start,Goal,,
