Team,Level,Source,Target,Rule,Notes
Chaotix,Frog Forest,Start,ObjSanity,,
Chaotix,Frog Forest,ObjSanity,Start,,
Chaotix,Frog Forest,Start,Bonus Key 1,,
Chaotix,Frog Forest,Bonus Key 1,Start,,
Chaotix,Frog Forest,Start,Bonus Key 2,,
Chaotix,Frog Forest,Bonus Key 2,Start,,
Chaotix,Frog Forest,Start,Bonus Key 3,,
Chaotix,Frog Forest,Bonus Key 3,Start,,
Chaotix,Frog Forest,Start,Checkpoint 1,,
Chaotix,Frog Forest,Checkpoint 1,Start,,
Chaotix,Frog Forest,Start,Checkpoint 2,,
Chaotix,Frog Forest,Checkpoint 2,Start,,
Chaotix,Frog Forest,Start,Checkpoint 3,,
Chaotix,Frog Forest,Checkpoint 3,Start,,
Chaotix,Frog Forest,Start,Goal,,
