Team,Level,Source,Target,Rule,Notes
Dark,Frog Forest,Start,ObjSanity,,
Dark,Frog Forest,ObjSanity,Start,,
Dark,Frog Forest,Start,Bonus Key 1,,
Dark,Frog Forest,Bonus Key 1,Start,,
Dark,Frog Forest,Start,Bonus Key 2,,
Dark,Frog Forest,Bonus Key 2,Start,,
Dark,Frog Forest,Start,Bonus Key 3,,
Dark,Frog Forest,Bonus Key 3,Start,,
Dark,Frog Forest,Start,Checkpoint 1,,
Dark,Frog Forest,Checkpoint 1,Start,,
Dark,Frog Forest,Start,Checkpoint 2,,
Dark,Frog Forest,Checkpoint 2,Start,,
Dark,Frog Forest,Start,Checkpoint 3,,
Dark,Frog Forest,Checkpoint 3,Start,,
Dark,Frog Forest,Start,Goal,,
