Team,Level,Source,Target,Rule,Notes
Rose,Frog Forest,Start,ObjSanity,,
Rose,Frog Forest,ObjSanity,Start,,
Rose,Frog Forest,Start,Bonus Key 1,,
Rose,Frog Forest,Bonus Key 1,Start,,
Rose,Frog Forest,Start,Bonus Key 2,,
Rose,Frog Forest,Bonus Key 2,Start,,
Rose,Frog Forest,Start,Bonus Key 3,,
Rose,Frog Forest,Bonus Key 3,Start,,
Rose,Frog Forest,Start,Checkpoint 1,,
Rose,Frog Forest,Checkpoint 1,Start,,
Rose,Frog Forest,Start,Checkpoint 2,,
Rose,Frog Forest,Checkpoint 2,Start,,
Rose,Frog Forest,Start,Goal,,
