Team,Level,Source,Target,Rule,Notes
Sonic,Frog Forest,Start,First Ground,,
Sonic,Frog Forest,First Ground,First Corkscrew Loop,BouncyFruitorFlyingAnySonicFrog,Can jump off of enemy to make it with nothing
Sonic,Frog Forest,First Corkscrew Loop,First Ground,,
Sonic,Frog Forest,First Corkscrew Loop,Second Ground With Frog,DashPanelSonicFrog,
Sonic,Frog Forest,Second Ground With Frog,First Green Frog,GreenFrogSonicFrog,
Sonic,Frog Forest,Second Ground With Frog,First Ivy Grind,,
Sonic,Frog Forest,First Green Frog,Tall Tree Platform,TallTreePlatformSonicFrog,
Sonic,Frog Forest,First Green Frog,Yellow Platform With Item Box,YellowPlatformSonicFrog,
Sonic,Frog Forest,Yellow Platform With Item Box,First Ivy Grind,,
Sonic,Frog Forest,Tall Tree Platform,Top Route to Very Big Yellow Plant,DashRingandFlyingAnySonicFrog,
Sonic,Frog Forest,Top Route to Very Big Yellow Plant,First Ivy Grind,,
Sonic,Frog Forest,First Ivy Grind,Swinging Vine Before First Tree,SwingingVineSonicFrog,
Sonic,Frog Forest,First Ivy Grind,Ground Under First Tree,,
Sonic,Frog Forest,First Ivy Grind,First Tree Top,NOTPOSSIBLE,This is possible with flying and maybe glide
Sonic,Frog Forest,Ground Under First Tree,First Tree Bottom,BouncyFruitorFlyingAnySonicFrog,
Sonic,Frog Forest,First Tree Bottom,Ground Under First Tree,,
Sonic,Frog Forest,First Tree Bottom,Second Green Frog,GreenFrogSonicFrog,
Sonic,Frog Forest,Second Green Frog,First Tree Top,SmallBouncyMushroomSonicFrog,
Sonic,Frog Forest,First Tree Top,First Tree Bottom,,
Sonic,Frog Forest,First Tree Top,First Ivy Grind,NOTPOSSIBLE,This is possible (not sure if I wanna route this though)
Sonic,Frog Forest,First Tree Top,Bonus Key 1,,
Sonic,Frog Forest,First Tree Top,Checkpoint 1,,
Sonic,Frog Forest,Checkpoint 1,First Tree Top,,
Sonic,Frog Forest,First Tree Top,First Circle Island After Checkpoint 1,(All3CharsandDashRing)orFlyingAnySonicFrog,
Sonic,Frog Forest,First Circle Island After Checkpoint 1,First Tree Top,FlyingAnySonicFrog,
Sonic,Frog Forest,First Circle Island After Checkpoint 1,Second Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Second Circle Island After Checkpoint 1,First Circle Island After Checkpoint 1,,
Sonic,Frog Forest,First Circle Island After Checkpoint 1,Third Circle Island After Checkpoint 1,FlyingAnyorGlideorHomingSonicFrog,is possible with nothing
Sonic,Frog Forest,Third Circle Island After Checkpoint 1,First Circle Island After Checkpoint 1,FlyingAnyorGlideorHomingSonicFrog,is possible with nothing
Sonic,Frog Forest,Second Circle Island After Checkpoint 1,Third Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Third Circle Island After Checkpoint 1,Second Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Second Circle Island After Checkpoint 1,Second Circle Island After Checkpoint 1 Green Frog,GreenFrogSonicFrog,
Sonic,Frog Forest,Second Circle Island After Checkpoint 1 Green Frog,Small Green Platform Second Circle Island After Checkpoint 1,FlyingAnyandSmallGreenPlatformSonicFrog,
Sonic,Frog Forest,Small Green Platform Second Circle Island After Checkpoint 1,Top Half of Third Circle Island After Checkpoint 1,FlyingAnySonicFrog,
Sonic,Frog Forest,Third Circle Island After Checkpoint 1,Fifth Circle Island After Checkpoint 1,FlyingAnySonicFrog,could be done with tornado
Sonic,Frog Forest,Fifth Circle Island After Checkpoint 1,Third Circle Island After Checkpoint 1,FlyingAnySonicFrog,
Sonic,Frog Forest,Fifth Circle Island After Checkpoint 1,Fourth Circle Island After Checkpoint 1,FlyingAnyorLargeBouncyMushroomSonicFrog,
Sonic,Frog Forest,Fourth Circle Island After Checkpoint 1,Fifth Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Fourth Circle Island After Checkpoint 1,Top Half of Third Circle Island After Checkpoint 1,FlyingAnySonicFrog,
Sonic,Frog Forest,Top Half of Third Circle Island After Checkpoint 1,Fourth Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Top Half of Third Circle Island After Checkpoint 1,Third Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Fifth Circle Island After Checkpoint 1,Top Half of Fifth Circle Island After Checkpoint 1,LargeBouncyMushroomSonicFrog,
Sonic,Frog Forest,Top Half of Fifth Circle Island After Checkpoint 1,Fifth Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Fourth Circle Island After Checkpoint 1,Top Half of Fifth Circle Island After Checkpoint 1,FlyingAnySonicFrog,
Sonic,Frog Forest,Top Half of Fifth Circle Island After Checkpoint 1,Fourth Circle Island After Checkpoint 1,,
Sonic,Frog Forest,Top Half of Fifth Circle Island After Checkpoint 1,Long Path After Checkpoint 1,FlyingAnyorPowerGongSonicFrog,
Sonic,Frog Forest,Long Path After Checkpoint 1,Top Half of Fifth Circle Island After Checkpoint 1,FlyingAnySonicFrog,
Sonic,Frog Forest,Long Path After Checkpoint 1,Second Corkscrew,,
Sonic,Frog Forest,Second Corkscrew,Long Path After Checkpoint 1,,
Sonic,Frog Forest,Second Corkscrew,End of Long Path After Checkpoint 1,,
Sonic,Frog Forest,End of Long Path After Checkpoint 1,Second Corkscrew,,
Sonic,Frog Forest,End of Long Path After Checkpoint 1,Long Path After Checkpoint 1 Green Frog,GreenFrogSonicFrog,
Sonic,Frog Forest,End of Long Path After Checkpoint 1,Small Circle Island Before Checkpoint 2,DashPanelandDashRingandFlyingAnySonicFrog,
Sonic,Frog Forest,Small Circle Island Before Checkpoint 2,End of Long Path After Checkpoint 1,FlyingAnySonicFrog,
Sonic,Frog Forest,Long Path After Checkpoint 1 Green Frog,End of Long Path After Checkpoint 1 Large Yellow Platform,DashPanelandYellowPlatformSonicFrog,
Sonic,Frog Forest,End of Long Path After Checkpoint 1 Large Yellow Platform,Small Green Platform Before Checkpoint 2,(DashRingorFlyingAny)andSmallGreenPlatformandTripleSpringSonicFrog,
Sonic,Frog Forest,Small Green Platform Before Checkpoint 2,Checkpoint 2 Island,,
Sonic,Frog Forest,Small Green Platform Before Checkpoint 2,Small Green Platform Above Checkpoint 2,FlyingAnyandGreenPlatformSonicFrog,
Sonic,Frog Forest,Small Green Platform Above Checkpoint 2,Top of Checkpoint 2 Island,FlyingAnyandGreenPlatformSonicFrog,
Sonic,Frog Forest,Small Circle Island Before Checkpoint 2,Small Circle Island Before Checkpoint 2 Top,TripleSpringSonicFrog,
Sonic,Frog Forest,Small Circle Island Before Checkpoint 2 Top,Small Circle Island Before Checkpoint 2,,
Sonic,Frog Forest,Small Circle Island Before Checkpoint 2 Top,Checkpoint 2 Island,FlyingAnyorGlideorHomingSonicFrog,
Sonic,Frog Forest,Checkpoint 2 Island,Small Circle Island Before Checkpoint 2 Top,FlyingAnyorGlideorHomingSonicFrog,
Sonic,Frog Forest,Checkpoint 2 Island,Checkpoint 2,,
Sonic,Frog Forest,Checkpoint 2,Checkpoint 2 Island,,
Sonic,Frog Forest,Checkpoint 2 Island,Large Yellow Platforms At Checkpoint 2,YellowPlatformSonicFrog,
Sonic,Frog Forest,Large Yellow Platforms At Checkpoint 2,Checkpoint 2 Island,,
Sonic,Frog Forest,Large Yellow Platforms At Checkpoint 2,Left Circle Island At Checkpoint 2,,
Sonic,Frog Forest,Left Circle Island At Checkpoint 2,Large Yellow Platforms At Checkpoint 2,YellowPlatformSonicFrog,
Sonic,Frog Forest,Large Yellow Platforms At Checkpoint 2,Right Circle Island At Checkpoint 2,FlyingAnyorGlideorHomingSonicFrog,
Sonic,Frog Forest,Right Circle Island At Checkpoint 2,Large Yellow Platforms At Checkpoint 2,(FlyingAnyorGlideorHoming)andYellowPlatformSonicFrog,
Sonic,Frog Forest,Right Circle Island At Checkpoint 2,Top of Right Circle Island At Checkpoint 2,LargeBouncyMushroomSonicFrog,
Sonic,Frog Forest,Top of Right Circle Island At Checkpoint 2,Right Circle Island At Checkpoint 2,,
Sonic,Frog Forest,Top of Right Circle Island At Checkpoint 2,Upper Right Circle Island At Checkpoint 2,,
Sonic,Frog Forest,Upper Right Circle Island At Checkpoint 2,Top of Right Circle Island At Checkpoint 2,,
Sonic,Frog Forest,Upper Right Circle Island At Checkpoint 2,Top of Upper Right Circle Island At Checkpoint 2,FlyingAnyandLargeBouncyMushroomSonicFrog,
Sonic,Frog Forest,Top of Upper Right Circle Island At Checkpoint 2,Upper Right Circle Island At Checkpoint 2,,
Sonic,Frog Forest,Top of Upper Right Circle Island At Checkpoint 2,Top of Checkpoint 2 Island,FlyingAnyorGlideorHomingSonicFrog,
Sonic,Frog Forest,Top of Checkpoint 2 Island,Ring Path With Target Switch Above Checkpoint 2,LightDashandTargetSwitchandThundershootSonicFrog,
Sonic,Frog Forest,Upper Right Circle Island At Checkpoint 2,Ring Path With Target Switch Above Checkpoint 2,LightDashandTargetSwitchandThundershootSonicFrog,
Sonic,Frog Forest,Ring Path With Target Switch Above Checkpoint 2,Upper Right Circle Island At Checkpoint 2,LightDashSonicFrog,
Sonic,Frog Forest,Ring Path With Target Switch Above Checkpoint 2,Top of Checkpoint 2 Island,LightDashSonicFrog,
Sonic,Frog Forest,Top of Checkpoint 2 Island,Upper Right Circle Island At Checkpoint 2,FlyingAnySonicFrog,
Sonic,Frog Forest,Upper Right Circle Island At Checkpoint 2,Top of Checkpoint 2 Island,FlyingAnySonicFrog,
Sonic,Frog Forest,Top of Checkpoint 2 Island,Checkpoint 2 Island,,
Sonic,Frog Forest,Upper Right Circle Island At Checkpoint 2,Upper Right Circle Island At Checkpoint 2 Alcove,BreakSonicFrog,steel container
Sonic,Frog Forest,Left Circle Island At Checkpoint 2,Left Circle Island At Checkpoint 2 Case,KillGroundEnemySpearPlainShieldSonicFrog,
Sonic,Frog Forest,Left Circle Island At Checkpoint 2,Circle Island Before Propeller Island After Checkpoint 2,LargeBouncyMushroomandPowerGongSonicFrog,
Sonic,Frog Forest,Top of Right Circle Island At Checkpoint 2,Top of Circle Island Before Propeller Island After Checkpoint 2,DashRingandFlyingAnySonicFrog,
Sonic,Frog Forest,Circle Island Before Propeller Island After Checkpoint 2,Top of Circle Island Before Propeller Island After Checkpoint 2,LargeBouncyMushroomSonicFrog,
Sonic,Frog Forest,Top of Circle Island Before Propeller Island After Checkpoint 2,Circle Island Before Propeller Island After Checkpoint 2,,
Sonic,Frog Forest,Top of Circle Island Before Propeller Island After Checkpoint 2,Top of Right Circle Island At Checkpoint 2,FlyingAnyorGlideorHomingSonicFrog,
Sonic,Frog Forest,Top of Circle Island Before Propeller Island After Checkpoint 2,Left Circle Island At Checkpoint 2,FlyingAnyorGlideorHomingSonicFrog,
Sonic,Frog Forest,Top of Circle Island Before Propeller Island After Checkpoint 2,Propeller Island After Checkpoint 2,,
Sonic,Frog Forest,Propeller Island After Checkpoint 2,Top of Circle Island Before Propeller Island After Checkpoint 2,,
Sonic,Frog Forest,Propeller Island After Checkpoint 2,Propeller Path,PropellerSonicFrog,
Sonic,Frog Forest,Propeller Path,Second Big Yellow Plant,,
Sonic,Frog Forest,Propeller Path,Ivy Around Second Big Yellow Plant,,
Sonic,Frog Forest,Second Big Yellow Plant,Ivy Around Second Big Yellow Plant,,
Sonic,Frog Forest,Ivy Around Second Big Yellow Plant,Island With Bonus Key 2,,
Sonic,Frog Forest,Island With Bonus Key 2,Bonus Key 2,,
Sonic,Frog Forest,Bonus Key 2,Island With Bonus Key 2,,
Sonic,Frog Forest,Island With Bonus Key 2,Island Next to Bonus Key 2,FlyingAnySonicFrog,
Sonic,Frog Forest,Ivy Around Second Big Yellow Plant,Island Next to Bonus Key 2,,
Sonic,Frog Forest,Island Next to Bonus Key 2,Island Before Second and Third Propeller Island,DashRamporFlyingAnySonicFrog,
Sonic,Frog Forest,Island Before Second and Third Propeller Island,Island Next to Bonus Key 2,FlyingAnySonicFrog,
