Team,Level,Source,Target,Rule,Notes
Chaotix,Grand Metropolis,Start,ObjSanity,,
Chaotix,Grand Metropolis,ObjSanity,Start,,
Chaotix,Grand Metropolis,Start,Bonus Key 1,,
Chaotix,Grand Metropolis,Bonus Key 1,Start,,
Chaotix,Grand Metropolis,Start,Bonus Key 2,,
Chaotix,Grand Metropolis,Bonus Key 2,Start,,
Chaotix,Grand Metropolis,Start,Bonus Key 3,,
Chaotix,Grand Metropolis,Bonus Key 3,Start,,
Chaotix,Grand Metropolis,Start,Checkpoint 1,,
Chaotix,Grand Metropolis,Checkpoint 1,Start,,
Chaotix,Grand Metropolis,Start,Checkpoint 2,,
Chaotix,Grand Metropolis,Checkpoint 2,Start,,
Chaotix,Grand Metropolis,Start,Checkpoint 3,,
Chaotix,Grand Metropolis,Checkpoint 3,Start,,
Chaotix,Grand Metropolis,Start,Checkpoint 4,,
Chaotix,Grand Metropolis,Checkpoint 4,Start,,
Chaotix,Grand Metropolis,Start,Goal,,
