Team,Level,Source,Target,Rule,Notes
Dark,Grand Metropolis,Start,ObjSanity,,
Dark,Grand Metropolis,ObjSanity,Start,,
Dark,Grand Metropolis,Start,Bonus Key 1,,
Dark,Grand Metropolis,Bonus Key 1,Start,,
Dark,Grand Metropolis,Start,Bonus Key 2,,
Dark,Grand Metropolis,Bonus Key 2,Start,,
Dark,Grand Metropolis,Start,Bonus Key 3,,
Dark,Grand Metropolis,Bonus Key 3,Start,,
Dark,Grand Metropolis,Start,Checkpoint 1,,
Dark,Grand Metropolis,Checkpoint 1,Start,,
Dark,Grand Metropolis,Start,Checkpoint 2,,
Dark,Grand Metropolis,Checkpoint 2,Start,,
Dark,Grand Metropolis,Start,Checkpoint 3,,
Dark,Grand Metropolis,Checkpoint 3,Start,,
Dark,Grand Metropolis,Start,Checkpoint 4,,
Dark,Grand Metropolis,Checkpoint 4,Start,,
Dark,Grand Metropolis,Start,Goal,,
