Team,Level,Source,Target,Rule,Notes
Rose,Grand Metropolis,Start,ObjSanity,,
Rose,Grand Metropolis,ObjSanity,Start,,
Rose,Grand Metropolis,Start,Bonus Key 1,,
Rose,Grand Metropolis,Bonus Key 1,Start,,
Rose,Grand Metropolis,Start,Bonus Key 2,,
Rose,Grand Metropolis,Bonus Key 2,Start,,
Rose,Grand Metropolis,Start,Bonus Key 3,,
Rose,Grand Metropolis,Bonus Key 3,Start,,
Rose,Grand Metropolis,Start,Checkpoint 1,,
Rose,Grand Metropolis,Checkpoint 1,Start,,
Rose,Grand Metropolis,Start,Checkpoint 2,,
Rose,Grand Metropolis,Checkpoint 2,Start,,
Rose,Grand Metropolis,Start,Checkpoint 3,,
Rose,Grand Metropolis,Checkpoint 3,Start,,
Rose,Grand Metropolis,Start,Goal,,
