Team,Level,Source,Target,Rule,Notes
Sonic,Grand Metropolis,Blimp Platform,Secret Start,,
Sonic,Grand Metropolis,Secret Start,Secret Falling Bridge,FallingBridgeandKillGroundEnemyCameronSonicGM,Falling Bridge
Sonic,Grand Metropolis,Secret Falling Bridge,Secret Checkpoint,,
Sonic,Grand Metropolis,Secret Checkpoint,Secret Long Road,DashRampSonicGM,
Sonic,Grand Metropolis,Secret Long Road,Secret Bonus Key,HomingAttackandLightDashSonicGM,Egg Flappers
Sonic,Grand Metropolis,Secret Long Road,Secret Path Below Secret Bonus Key,,
Sonic,Grand Metropolis,Secret Path Below Secret Bonus Key,Secret Blimp Platform,DashRampSonicGM,
Sonic,Grand Metropolis,Secret Bonus Key,Secret Blimp Platform,DashRingSonicGM,
Sonic,Grand Metropolis,Secret Bonus Key,Secret Path Below Secret Bonus Key,,
Sonic,Grand Metropolis,Secret Blimp Platform,Secret Empty Lone Roof,LightDashSonicGM,
Sonic,Grand Metropolis,Secret Blimp Platform,Secret Road After Cap,AccelRoadandKillGroundEnemyCameronSonicGM,Accel Road
Sonic,Grand Metropolis,Secret Road After Cap,Secret Lower Empty Lone Roof,,
Sonic,Grand Metropolis,Secret Lower Empty Lone Roof,Secret End of Road,FlyingAnySonicGM,
Sonic,Grand Metropolis,Secret End of Road,Roof Below Second Bonus Key,,
Sonic,Grand Metropolis,Roof Below Second Bonus Key,Bonus Key 2,TripleSpringSonicGM,
