Team,Level,Source,Target,Rule,Notes
Sonic,Grand Metropolis,Start,Start Road,DashRampSonicGM,
Sonic,Grand Metropolis,Start Road,Start,NOTPOSSIBLE,
Sonic,Grand Metropolis,Start Road,Lower Road Start,,
Sonic,Grand Metropolis,Lower Road Start,Start Road,FlyingFullSonicGM,
Sonic,Grand Metropolis,Lower Road Start,First Cap,TripleSpringSonicGM,
Sonic,Grand Metropolis,Start Road,First Cap,HomingAttackSonicGM,Needs Egg Flappers
Sonic,Grand Metropolis,First Cap,First Accel Road,AccelRoadandKillGroundEnemyCameronSonicGM,Cameron Enemy
Sonic,Grand Metropolis,First Accel Road,First Cap,NOTPOSSIBLE,
Sonic,Grand Metropolis,First Accel Road,Push Switch and Cap,,
Sonic,Grand Metropolis,Push Switch and Cap,Mini Room 1,PushPullSwitchSonicGM,
Sonic,Grand Metropolis,Mini Room 1,Push Switch and Cap,NOTPOSSIBLE,
Sonic,Grand Metropolis,Push Switch and Cap,Second Cap,,
Sonic,Grand Metropolis,Second Cap,Push Switch and Cap,,
Sonic,Grand Metropolis,Second Cap,Second Accel Road,AccelRoadandKillFlyingEnemyRedNothingSonicGM,Red Flapper
Sonic,Grand Metropolis,Second Accel Road,Second Cap,NOTPOSSIBLE,
Sonic,Grand Metropolis,Second Accel Road,Checkpoint 1,,
Sonic,Grand Metropolis,Checkpoint 1,Second Accel Road,HomingAttackSonicGM,3 Red Flappers
Sonic,Grand Metropolis,Checkpoint 1,Bonus Key 1,,
Sonic,Grand Metropolis,Bonus Key 1,Checkpoint 1,,
Sonic,Grand Metropolis,Bonus Key 1,Second Pull Switch,TripleSpringSonicGM,Is possible with flying (difficult)
Sonic,Grand Metropolis,Second Pull Switch,Bonus Key 1,,
Sonic,Grand Metropolis,Second Pull Switch,Mini Room 2,PushPullSwitchSonicGM,
Sonic,Grand Metropolis,Mini Room 2,Second Pull Switch,NOTPOSSIBLE,
Sonic,Grand Metropolis,Second Pull Switch,Road Corkscrew,DashRampSonicGM,Rainbow Hoops Not REQ
Sonic,Grand Metropolis,Road Corkscrew,Second Pull Switch,NOTPOSSIBLE,
Sonic,Grand Metropolis,Road Corkscrew,Checkpoint 2,DashRampSonicGM,
Sonic,Grand Metropolis,Checkpoint 2,Road Corkscrew,NOTPOSSIBLE,
Sonic,Grand Metropolis,Checkpoint 2,Checkpoint 2 Push Switch,PushPullSwitchSonicGM,
Sonic,Grand Metropolis,Checkpoint 2 Push Switch,Checkpoint 2,,
Sonic,Grand Metropolis,Checkpoint 2 Push Switch,Checkpoint 2 Left Door,,
Sonic,Grand Metropolis,Checkpoint 2 Left Door,Checkpoint 2 Push Switch,,
Sonic,Grand Metropolis,Checkpoint 2 Left Door,Checkpoint 2 Left Door Switch,BreakNotKeySonicGM,in wooden container
Sonic,Grand Metropolis,Checkpoint 2 Left Door Switch,Checkpoint 2 Left Door,,
Sonic,Grand Metropolis,Checkpoint 2 Left Door Switch,Checkpoint 2 Right Door,SwitchSonicGM,
Sonic,Grand Metropolis,Checkpoint 2 Right Door,Checkpoint 2 Left Door Switch,NOTPOSSIBLE,
Sonic,Grand Metropolis,Checkpoint 2,Checkpoint 2 Falling Bridge,KillGroundEnemyNothingSonicGM,2 Egg Pawns
Sonic,Grand Metropolis,Checkpoint 2 Falling Bridge,Checkpoint 2,NOTPOSSIBLE,
Sonic,Grand Metropolis,Checkpoint 2 Falling Bridge,Four Unbreakable Blocks,,
Sonic,Grand Metropolis,Four Unbreakable Blocks,Checkpoint 2 Falling Bridge,NOTPOSSIBLE,
Sonic,Grand Metropolis,Four Unbreakable Blocks,Lower Section Under Ring Line,,
Sonic,Grand Metropolis,Lower Section Under Ring Line,Four Unbreakable Blocks,NOTPOSSIBLE,Might be possible with flying (maybe single spring helps)
Sonic,Grand Metropolis,Four Unbreakable Blocks,Path Between 3 Ring Lines,LightDashSonicGM,
Sonic,Grand Metropolis,Path Between 3 Ring Lines,Four Unbreakable Blocks,LightDashSonicGM,
Sonic,Grand Metropolis,Lower Section Under Ring Line,Path Between 3 Ring Lines,FlyingAnyorSingleSpringorTripleSpringSonicGM,
Sonic,Grand Metropolis,Path Between 3 Ring Lines,Lower Section Under Ring Line,,
Sonic,Grand Metropolis,Path Between 3 Ring Lines,Left Path with Ring Line,HomingAttackandLightDashSonicGM,
Sonic,Grand Metropolis,Left Path with Ring Line,Path Between 3 Ring Lines,HomingAttackandLightDashSonicGM,
Sonic,Grand Metropolis,Left Path with Ring Line,Door With Push Switch,HomingAttackandLightDashSonicGM,
Sonic,Grand Metropolis,Door With Push Switch,Left Path with Ring Line,HomingAttackandLightDashSonicGM,
Sonic,Grand Metropolis,Path Between 3 Ring Lines,Lower Section With Warp Flower,,
Sonic,Grand Metropolis,Lower Section With Warp Flower,Path Between 3 Ring Lines,FlyingAnySonicGM,
Sonic,Grand Metropolis,Lower Section With Warp Flower,Door With Push Switch,SingleSpringSonicGM,
Sonic,Grand Metropolis,Door With Push Switch,Lower Section With Warp Flower,FlyingAnySonicGM,
Sonic,Grand Metropolis,Path Between 3 Ring Lines,Door With Push Switch,FlyingAnyorLightDashSonicGM,
Sonic,Grand Metropolis,Door With Push Switch,Path Between 3 Ring Lines,FlyingAnyorLightDashSonicGM,
Sonic,Grand Metropolis,Door With Push Switch,First Hallway,PushPullSwitchSonicGM,
Sonic,Grand Metropolis,First Hallway,Door With Push Switch,NOTPOSSIBLE,
Sonic,Grand Metropolis,First Hallway,First Hallway Middle Road,FlyingAnyorLightDashSonicGM,
Sonic,Grand Metropolis,First Hallway Middle Road,First Hallway,FlyingAnyor(HomingAttackandLightDash)SonicGM,
Sonic,Grand Metropolis,First Hallway Middle Road,First Hallway Lower Route,,
Sonic,Grand Metropolis,First Hallway Lower Route,First Hallway Middle Road,FlyingAnySonicGM,
Sonic,Grand Metropolis,First Hallway,First Hallway Lower Route,,
Sonic,Grand Metropolis,First Hallway Lower Route,First Hallway,NOTPOSSIBLE,
Sonic,Grand Metropolis,First Hallway Lower Route,First Hallway Turtle Door,,
Sonic,Grand Metropolis,First Hallway Turtle Door,First Hallway Lower Route,NOTPOSSIBLE,
Sonic,Grand Metropolis,First Hallway Turtle Door,First Hallway Turtle Door Case,KillGroundEnemyCameronSonicGM,
Sonic,Grand Metropolis,First Hallway Turtle Door Case,First Hallway Turtle Door,,
Sonic,Grand Metropolis,First Hallway Turtle Door Case,First Hallway After Turtle Door,SwitchSonicGM,
Sonic,Grand Metropolis,First Hallway After Turtle Door,First Hallway Turtle Door Case,NOTPOSSIBLE,
Sonic,Grand Metropolis,First Hallway After Turtle Door,First Hallway Second Door,(FlyingOneCharandUnbreakableContainer)orTripleSpringSonicGM,
Sonic,Grand Metropolis,First Hallway Second Door,First Hallway After Turtle Door,,
Sonic,Grand Metropolis,First Hallway Second Door,First Hallway Second Door Case,KillGroundEnemySpearConcreteShieldSonicGM,
Sonic,Grand Metropolis,First Hallway Second Door Case,First Hallway Second Door,,
Sonic,Grand Metropolis,First Hallway Second Door Case,First Hallway After Second Door,SwitchSonicGM,
Sonic,Grand Metropolis,First Hallway After Second Door,First Hallway Second Door Case,NOTPOSSIBLE,
Sonic,Grand Metropolis,First Hallway After Second Door,Checkpoint 3,DashRamporFlyingAnySonicGM,
Sonic,Grand Metropolis,Checkpoint 3,First Hallway After Second Door,NOTPOSSIBLE,
Sonic,Grand Metropolis,Checkpoint 3,Small Road in Hallway,(Homing3orTornado)andPoleSonicGM,
Sonic,Grand Metropolis,Small Road in Hallway,Checkpoint 3,FlyingAnyorHomingorGlideSonicGM,
Sonic,Grand Metropolis,Small Road in Hallway,Hallway Bottom With Case and Pole,,
Sonic,Grand Metropolis,Hallway Bottom With Case and Pole,Small Road in Hallway,NOTPOSSIBLE,
Sonic,Grand Metropolis,Hallway Bottom With Case and Pole,Hallway Bottom Case,KillGroundEnemySpearConcreteShieldSonicGM,
Sonic,Grand Metropolis,Hallway Bottom Case,Hallway Bottom With Case and Pole,,
Sonic,Grand Metropolis,Hallway Bottom Case,Hallway Long Road With Light Dash,PoleandSwitchSonicGM,
Sonic,Grand Metropolis,Hallway Long Road With Light Dash,Hallway Bottom Case,,
Sonic,Grand Metropolis,Small Road in Hallway,Hallway Long Road With Light Dash,HomingAttackandLightDashSonicGM,
Sonic,Grand Metropolis,Hallway Long Road With Light Dash,Small Road in Hallway,NOTPOSSIBLE,
Sonic,Grand Metropolis,Hallway Long Road With Light Dash,Door With Target Switch,LightDashorTripleSpringSonicGM,
Sonic,Grand Metropolis,Door With Target Switch,Hallway Long Road With Light Dash,,
Sonic,Grand Metropolis,Door With Target Switch,Small Pole Room,SwitchSonicGM,
Sonic,Grand Metropolis,Small Pole Room,Door With Target Switch,NOTPOSSIBLE,
Sonic,Grand Metropolis,Small Pole Room,Checkpoint 4,PoleSonicGM,
Sonic,Grand Metropolis,Checkpoint 4,Small Pole Room,NOTPOSSIBLE,
Sonic,Grand Metropolis,Checkpoint 4,Bottom Platform After Checkpoint 4,FlyingAnySonicGM,
Sonic,Grand Metropolis,Bottom Platform After Checkpoint 4,Checkpoint 4,FlyingAnySonicGM,
Sonic,Grand Metropolis,Checkpoint 4,Checkpoint 4 Cannon Speed,CannonSpeedSonicGM,
Sonic,Grand Metropolis,Checkpoint 4,Checkpoint 4 Cannon Flying,CannonFlyingSonicGM,
Sonic,Grand Metropolis,Checkpoint 4,Checkpoint 4 Cannon Power,CannonPowerSonicGM,
Sonic,Grand Metropolis,Checkpoint 4 Cannon Speed,Long Rail Platform,,
Sonic,Grand Metropolis,Checkpoint 4 Cannon Flying,Top Platform With Rail And Dash Ring,,
Sonic,Grand Metropolis,Checkpoint 4 Cannon Power,Bottom Platform After Checkpoint 4,,
Sonic,Grand Metropolis,Top Platform With Rail And Dash Ring,Checkpoint 4,,
Sonic,Grand Metropolis,Top Platform With Rail And Dash Ring,Bottom Platform After Checkpoint 4,,
Sonic,Grand Metropolis,Bottom Platform After Checkpoint 4,Long Rail Platform,FlyingAnyorTripleSpringSonicGM,difficult with flying only (may need one char)
Sonic,Grand Metropolis,Long Rail Platform,Blimp Platform,SingleSpringSonicGM,
Sonic,Grand Metropolis,Blimp Platform,Long Rail Platform,FlyingAnySonicGM,
Sonic,Grand Metropolis,Blimp Platform,Platform After TP,PoleandSingleSpringSonicGM,
Sonic,Grand Metropolis,Platform After TP,Blimp Platform,NOTPOSSIBLE,
Sonic,Grand Metropolis,Platform After TP,Bonus Key 2,,
Sonic,Grand Metropolis,Bonus Key 2,Platform After TP,,
Sonic,Grand Metropolis,Platform After TP,Falling Bridge After TP,KillGroundEnemyCameronSonicGM,Falling Bridge
Sonic,Grand Metropolis,Falling Bridge After TP,Platform After TP,NOTPOSSIBLE,
Sonic,Grand Metropolis,Falling Bridge After TP,Tilting Bridge,,
Sonic,Grand Metropolis,Tilting Bridge,Falling Bridge After TP,,
Sonic,Grand Metropolis,Tilting Bridge,Tilting Bridge Lower,,
Sonic,Grand Metropolis,Tilting Bridge Lower,Tilting Bridge,FlyingAnySonicGM,
Sonic,Grand Metropolis,Tilting Bridge,Tilting Bridge Part 2,LightDashSonicGM,
Sonic,Grand Metropolis,Tilting Bridge Part 2,Tilting Bridge,,
Sonic,Grand Metropolis,Tilting Bridge Lower,Tilting Bridge Part 2,FlyingAnySonicGM,
Sonic,Grand Metropolis,Tilting Bridge Part 2,Tilting Bridge Lower,,
Sonic,Grand Metropolis,Tilting Bridge Part 2,Platform Below Tilting Bridge Part 2,,
Sonic,Grand Metropolis,Tilting Bridge Part 2,Goal,DashRampSonicGM,
Sonic,Grand Metropolis,Goal,Tilting Bridge Part 2,NOTPOSSIBLE,
Sonic,Grand Metropolis,Platform Below Tilting Bridge Part 2,Goal,FlyingOneCharandPoleandThunderShootSonicGM,
