Team,Level,Source,Target,Rule,Notes
Chaotix,Hang Castle,Start,ObjSanity,,
Chaotix,Hang Castle,ObjSanity,Start,,
Chaotix,Hang Castle,Start,Bonus Key 1,,
Chaotix,Hang Castle,Bonus Key 1,Start,,
Chaotix,Hang Castle,Start,Bonus Key 2,,
Chaotix,Hang Castle,Bonus Key 2,Start,,
Chaotix,Hang Castle,Start,Bonus Key 3,,
Chaotix,Hang Castle,Bonus Key 3,Start,,
Chaotix,Hang Castle,Start,Checkpoint 1,,
Chaotix,Hang Castle,Checkpoint 1,Start,,
Chaotix,Hang Castle,Start,Checkpoint 2,,
Chaotix,Hang Castle,Checkpoint 2,Start,,
Chaotix,Hang Castle,Start,Goal,,
