Team,Level,Source,Target,Rule,Notes
Dark,Hang Castle,Start,ObjSanity,,
Dark,Hang Castle,ObjSanity,Start,,
Dark,Hang Castle,Start,Bonus Key 1,,
Dark,Hang Castle,Bonus Key 1,Start,,
Dark,Hang Castle,Start,Bonus Key 2,,
Dark,Hang Castle,Bonus Key 2,Start,,
Dark,Hang Castle,Start,Bonus Key 3,,
Dark,Hang Castle,Bonus Key 3,Start,,
Dark,Hang Castle,Start,Checkpoint 1,,
Dark,Hang Castle,Checkpoint 1,Start,,
Dark,Hang Castle,Start,Checkpoint 2,,
Dark,Hang Castle,Checkpoint 2,Start,,
Dark,Hang Castle,Start,Checkpoint 3,,
Dark,Hang Castle,Checkpoint 3,Start,,
Dark,Hang Castle,Start,Goal,,
