Team,Level,Source,Target,Rule,Notes
Rose,Hang Castle,Start,ObjSanity,,
Rose,Hang Castle,ObjSanity,Start,,
Rose,Hang Castle,Start,Bonus Key 1,,
Rose,Hang Castle,Bonus Key 1,Start,,
Rose,Hang Castle,Start,Bonus Key 2,,
Rose,Hang Castle,Bonus Key 2,Start,,
Rose,Hang Castle,Start,Bonus Key 3,,
Rose,Hang Castle,Bonus Key 3,Start,,
Rose,Hang Castle,Start,Checkpoint 1,,
Rose,Hang Castle,Checkpoint 1,Start,,
Rose,Hang Castle,Start,Checkpoint 2,,
Rose,Hang Castle,Checkpoint 2,Start,,
Rose,Hang Castle,Start,Goal,,
