Team,Level,Source,Target,Rule,Notes
Chaotix,Lost Jungle,Start,ObjSanity,,
Chaotix,Lost Jungle,ObjSanity,Start,,
Chaotix,Lost Jungle,Start,Bonus Key 1,,
Chaotix,Lost Jungle,Bonus Key 1,Start,,
Chaotix,Lost Jungle,Start,Bonus Key 2,,
Chaotix,Lost Jungle,Bonus Key 2,Start,,
Chaotix,Lost Jungle,Start,Bonus Key 3,,
Chaotix,Lost Jungle,Bonus Key 3,Start,,
Chaotix,Lost Jungle,Start,Checkpoint 1,,
Chaotix,Lost Jungle,Checkpoint 1,Start,,
Chaotix,Lost Jungle,Start,Checkpoint 2,,
Chaotix,Lost Jungle,Checkpoint 2,Start,,
Chaotix,Lost Jungle,Start,Goal,,
