Team,Level,Source,Target,Rule,Notes
Dark,Lost Jungle,Start,ObjSanity,,
Dark,Lost Jungle,ObjSanity,Start,,
Dark,Lost Jungle,Start,Bonus Key 1,,
Dark,Lost Jungle,Bonus Key 1,Start,,
Dark,Lost Jungle,Start,Bonus Key 2,,
Dark,Lost Jungle,Bonus Key 2,Start,,
Dark,Lost Jungle,Start,Bonus Key 3,,
Dark,Lost Jungle,Bonus Key 3,Start,,
Dark,Lost Jungle,Start,Checkpoint 1,,
Dark,Lost Jungle,Checkpoint 1,Start,,
Dark,Lost Jungle,Start,Checkpoint 2,,
Dark,Lost Jungle,Checkpoint 2,Start,,
Dark,Lost Jungle,Start,Checkpoint 3,,
Dark,Lost Jungle,Checkpoint 3,Start,,
Dark,Lost Jungle,Start,Checkpoint 4,,
Dark,Lost Jungle,Checkpoint 4,Start,,
Dark,Lost Jungle,Start,Checkpoint 5,,
Dark,Lost Jungle,Checkpoint 5,Start,,
Dark,Lost Jungle,Start,Goal,,
