Team,Level,Source,Target,Rule,Notes
Rose,Lost Jungle,Start,ObjSanity,,
Rose,Lost Jungle,ObjSanity,Start,,
Rose,Lost Jungle,Start,Bonus Key 1,,
Rose,Lost Jungle,Bonus Key 1,Start,,
Rose,Lost Jungle,Start,Bonus Key 2,,
Rose,Lost Jungle,Bonus Key 2,Start,,
Rose,Lost Jungle,Start,Bonus Key 3,,
Rose,Lost Jungle,Bonus Key 3,Start,,
Rose,Lost Jungle,Start,Checkpoint 1,,
Rose,Lost Jungle,Checkpoint 1,Start,,
Rose,Lost Jungle,Start,Checkpoint 2,,
Rose,Lost Jungle,Checkpoint 2,Start,,
Rose,Lost Jungle,Start,Goal,,
