Team,Level,Source,Target,Rule,Notes
Sonic,Lost Jungle,Start,Start Case,KillGroundEnemyEggHammerSonicLJ,
Sonic,Lost Jungle,Start,Mushrooms Above Start,,use ivy grind at start
Sonic,Lost Jungle,Mushrooms Above Start,Start,,
Sonic,Lost Jungle,Mushrooms Above Start,First Ivy,LargeBouncyMushroomandSwingingVineSonicLJ,
Sonic,Lost Jungle,First Ivy,Mushrooms Above Start,,
Sonic,Lost Jungle,First Ivy,Mushroom At First Ivy,,
Sonic,Lost Jungle,Mushroom At First Ivy,First Ivy,,
Sonic,Lost Jungle,Mushroom At First Ivy,Upper Mushroom At First Ivy,,
Sonic,Lost Jungle,Upper Mushroom At First Ivy,Mushroom At First Ivy,,
Sonic,Lost Jungle,First Ivy,Island With First Black Frog Bottom,,
Sonic,Lost Jungle,Island With First Black Frog Bottom,First Ivy,,
Sonic,Lost Jungle,Island With First Black Frog Bottom,Island With First Black Frog Layer With Bonus Key 1,FlyingAnyorTornadoorTripleSpringSonicLJ,
Sonic,Lost Jungle,Island With First Black Frog Layer With Bonus Key 1,Island With First Black Frog Bottom,,
Sonic,Lost Jungle,Island With First Black Frog Layer With Bonus Key 1,Bonus Key 1,,
Sonic,Lost Jungle,Island With First Black Frog Layer With Bonus Key 1,Island With First Black Frog Layer 3,FlyingAnyorTornadoSonicLJ,
Sonic,Lost Jungle,Island With First Black Frog Layer 3,Island With First Black Frog Layer With Bonus Key 1,,
Sonic,Lost Jungle,Island With First Black Frog Layer 3,Island With First Black Frog Layer With Checkpoint 1,FlyingAnyorTornadoSonicLJ,
Sonic,Lost Jungle,Island With First Black Frog Layer With Checkpoint 1,Island With First Black Frog Layer 3,,
Sonic,Lost Jungle,Island With First Black Frog Layer With Checkpoint 1,Checkpoint 1,,
Sonic,Lost Jungle,Checkpoint 1,Island With First Black Frog Layer With Checkpoint 1,,
Sonic,Lost Jungle,Island With First Black Frog Layer With Checkpoint 1,Path After Checkpoint 1,,
Sonic,Lost Jungle,Path After Checkpoint 1,Island With First Black Frog Layer With Checkpoint 1,,
Sonic,Lost Jungle,Path After Checkpoint 1,Island With Egg Hammer,SingleSpringSonicLJ,
Sonic,Lost Jungle,Island With Egg Hammer,Path With Second Black Frog,,use ivy above to not need large bouncy mushroom
Sonic,Lost Jungle,Path With Second Black Frog,Green Platforms After Second Black Frog,(FlyingAnyorTornado)andSmallGreenPlatformSonicLJ,
Sonic,Lost Jungle,Green Platforms After Second Black Frog,Path With Second Black Frog,SmallGreenPlatformSonicLJ,
Sonic,Lost Jungle,Green Platforms After Second Black Frog,Second Layer After Second Black Frog,(FlyingAnyorTornado)andSmallGreenPlatformSonicLJ,
Sonic,Lost Jungle,Second Layer After Second Black Frog,Green Platforms After Second Black Frog,SmallGreenPlatformSonicLJ,
Sonic,Lost Jungle,Second Layer After Second Black Frog,Third Layer After Second Black Frog,Flying3CharsorSwingingVineSonicLJ,
Sonic,Lost Jungle,Third Layer After Second Black Frog,Second Layer After Second Black Frog,,
Sonic,Lost Jungle,Third Layer After Second Black Frog,Fourth Layer After Second Black Frog,BouncyFruitSonicLJ,
Sonic,Lost Jungle,Fourth Layer After Second Black Frog,Third Layer After Second Black Frog,,
Sonic,Lost Jungle,Fourth Layer After Second Black Frog,Fifth Layer After Second Black Frog,FlyingAnySonicLJ,
Sonic,Lost Jungle,Fifth Layer After Second Black Frog,Fourth Layer After Second Black Frog,,
Sonic,Lost Jungle,Fifth Layer After Second Black Frog,Floating Island With Checkpoint 2,SingleSpringSonicLJ,
Sonic,Lost Jungle,Floating Island With Checkpoint 2,Fifth Layer After Second Black Frog,,
Sonic,Lost Jungle,Floating Island With Checkpoint 2,Checkpoint 2,,
Sonic,Lost Jungle,Checkpoint 2,Floating Island With Checkpoint 2,,
Sonic,Lost Jungle,Floating Island With Checkpoint 2,Swinging Vine After Checkpoint 2,SwingingVineSonicLJ,
Sonic,Lost Jungle,Swinging Vine After Checkpoint 2,Floating Island With Checkpoint 2,SwingingVineSonicLJ,
Sonic,Lost Jungle,Swinging Vine After Checkpoint 2,Start of Path After Checkpoint 2,SmallGreenPlatformandSwingingVineSonicLJ,
Sonic,Lost Jungle,Start of Path After Checkpoint 2,Start of Path After Checkpoint 2 Case,KillGroundEnemyEggHammerSonicLJ,
Sonic,Lost Jungle,Start of Path After Checkpoint 2 Case,Start of Path After Checkpoint 2 Green Frog,GreenFrogSonicLJ,
Sonic,Lost Jungle,Start of Path After Checkpoint 2,Path After Checkpoint 2,,
Sonic,Lost Jungle,Path After Checkpoint 2,Small Island With Klagens,SingleSpringSonicLJ,
Sonic,Lost Jungle,Small Island With Klagens,Mushroom With Black Frog Before Propeller,DashRampSonicLJ,
Sonic,Lost Jungle,Start of Path After Checkpoint 2 Green Frog,Ivy That Grows As You Grind On It 3,,
Sonic,Lost Jungle,Ivy That Grows As You Grind On It 3,Mushroom With Black Frog Before Propeller,,
Sonic,Lost Jungle,Mushroom With Black Frog Before Propeller,Path With First Propeller,FlyingAnyorSingleSpringSonicLJ,
Sonic,Lost Jungle,Path With First Propeller,Mushroom With Black Frog Before Propeller,FlyingAnySonicLJ,
Sonic,Lost Jungle,Path With First Propeller,Island Off Of Path With First Propeller,,
Sonic,Lost Jungle,Island Off Of Path With First Propeller,Path With First Propeller,,
Sonic,Lost Jungle,Path With First Propeller,First Propeller,PropellerSonicLJ,
Sonic,Lost Jungle,First Propeller,Island After First Propeller,,
Sonic,Lost Jungle,Path With First Propeller,Island After First Propeller,FlyingAnySonicLJ,
Sonic,Lost Jungle,Island After First Propeller,Bonus Key 2,,
Sonic,Lost Jungle,Island After First Propeller,Island After First Propeller Case,KillFlyingEnemyPurpleBombSonicLJ,can homing from case
Sonic,Lost Jungle,Island After First Propeller Case,Path With Checkpoint 3,LargeBouncyMushroomSonicLJ,
