Team,Level,Source,Target,Rule,Notes
Super Hard Mode,Lost Jungle,Start,Checkpoint 1,,
Super Hard Mode,Lost Jungle,Checkpoint 1,Start,,
Super Hard Mode,Lost Jungle,Start,Checkpoint 2,,
Super Hard Mode,Lost Jungle,Checkpoint 2,Start,,
Super Hard Mode,Lost Jungle,Start,Checkpoint 3,,
Super Hard Mode,Lost Jungle,Checkpoint 3,Start,,
Super Hard Mode,Lost Jungle,Start,Checkpoint 4,,
Super Hard Mode,Lost Jungle,Checkpoint 4,Start,,
Super Hard Mode,Lost Jungle,Start,Checkpoint 5,,
Super Hard Mode,Lost Jungle,Checkpoint 5,Start,,
Super Hard Mode,Lost Jungle,Start,Goal,,
