Team,Level,Source,Target,Rule,Notes
Chaotix,Mystic Mansion,Start,ObjSanity,,
Chaotix,Mystic Mansion,ObjSanity,Start,,
Chaotix,Mystic Mansion,Start,Bonus Key 1,,
Chaotix,Mystic Mansion,Bonus Key 1,Start,,
Chaotix,Mystic Mansion,Start,Bonus Key 2,,
Chaotix,Mystic Mansion,Bonus Key 2,Start,,
Chaotix,Mystic Mansion,Start,Bonus Key 3,,
Chaotix,Mystic Mansion,Bonus Key 3,Start,,
Chaotix,Mystic Mansion,Start,Checkpoint 1,,
Chaotix,Mystic Mansion,Checkpoint 1,Start,,
Chaotix,Mystic Mansion,Start,Checkpoint 2,,
Chaotix,Mystic Mansion,Checkpoint 2,Start,,
Chaotix,Mystic Mansion,Start,Checkpoint 3,,
Chaotix,Mystic Mansion,Checkpoint 3,Start,,
Chaotix,Mystic Mansion,Start,Checkpoint 4,,
Chaotix,Mystic Mansion,Checkpoint 4,Start,,
Chaotix,Mystic Mansion,Start,Goal,,
