Team,Level,Source,Target,Rule,Notes
Dark,Mystic Mansion,Start,ObjSanity,,
Dark,Mystic Mansion,ObjSanity,Start,,
Dark,Mystic Mansion,Start,Bonus Key 1,,
Dark,Mystic Mansion,Bonus Key 1,Start,,
Dark,Mystic Mansion,Start,Bonus Key 2,,
Dark,Mystic Mansion,Bonus Key 2,Start,,
Dark,Mystic Mansion,Start,Bonus Key 3,,
Dark,Mystic Mansion,Bonus Key 3,Start,,
Dark,Mystic Mansion,Start,Checkpoint 1,,
Dark,Mystic Mansion,Checkpoint 1,Start,,
Dark,Mystic Mansion,Start,Checkpoint 2,,
Dark,Mystic Mansion,Checkpoint 2,Start,,
Dark,Mystic Mansion,Start,Checkpoint 3,,
Dark,Mystic Mansion,Checkpoint 3,Start,,
Dark,Mystic Mansion,Start,Checkpoint 4,,
Dark,Mystic Mansion,Checkpoint 4,Start,,
Dark,Mystic Mansion,Start,Goal,,
