Team,Level,Source,Target,Rule,Notes
Rose,Mystic Mansion,Start,ObjSanity,,
Rose,Mystic Mansion,ObjSanity,Start,,
Rose,Mystic Mansion,Start,Bonus Key 1,,
Rose,Mystic Mansion,Bonus Key 1,Start,,
Rose,Mystic Mansion,Start,Bonus Key 2,,
Rose,Mystic Mansion,Bonus Key 2,Start,,
Rose,Mystic Mansion,Start,Bonus Key 3,,
Rose,Mystic Mansion,Bonus Key 3,Start,,
Rose,Mystic Mansion,Start,Checkpoint 1,,
Rose,Mystic Mansion,Checkpoint 1,Start,,
Rose,Mystic Mansion,Start,Checkpoint 2,,
Rose,Mystic Mansion,Checkpoint 2,Start,,
Rose,Mystic Mansion,Start,Goal,,
