Team,Level,Source,Target,Rule,Notes
Sonic,Mystic Mansion,Start,First Door Entrance,,
Sonic,Mystic Mansion,First Door Entrance,First Room,SwitchSonicMM,
Sonic,Mystic Mansion,First Room,First Hallway With Stairs,KillGroundEnemySpearSonicMM,
Sonic,Mystic Mansion,First Hallway With Stairs,Circle Room With Door,KillGroundEnemySpearSonicMM,
Sonic,Mystic Mansion,Circle Room With Door,Circle Room With Door Pit,BreakInGroundIronContainerSonicMM,
Sonic,Mystic Mansion,Circle Room With Door Pit,Circle Room With Door Case,SwitchSonicMM,
Sonic,Mystic Mansion,Circle Room With Door Case,First TP Switch,TPSwitchSonicMM,
Sonic,Mystic Mansion,First TP Switch,Circle Room With Hallway,TPSwitchSonicMM,
Sonic,Mystic Mansion,Circle Room With Hallway,Hallway With 2 Weights,KillGroundEnemySpearSonicMM,
Sonic,Mystic Mansion,Hallway With 2 Weights,Bonus Key 1,,
Sonic,Mystic Mansion,Hallway With 2 Weights,Door At Checkpoint 1,FlyingAnyandWeightSonicMM,
Sonic,Mystic Mansion,Door At Checkpoint 1,Checkpoint 1,,
Sonic,Mystic Mansion,Checkpoint 1,Door At Checkpoint 1,,
Sonic,Mystic Mansion,Door At Checkpoint 1,Room With TP Switch And Painting,SwitchSonicMM,
Sonic,Mystic Mansion,Room With TP Switch And Painting,Second TP Switch,TPSwitchSonicMM,
Sonic,Mystic Mansion,Second TP Switch,Room With TP Switch And Painting After TP Switch,TPSwitchSonicMM,
Sonic,Mystic Mansion,Room With TP Switch And Painting After TP Switch,Pit Before First Bobsled,KillGroundEnemySpearSpikeShieldEggHammerSonicMM,
Sonic,Mystic Mansion,Pit Before First Bobsled,Room Before First Bobsled Bottom,,
Sonic,Mystic Mansion,Room Before First Bobsled Bottom,Room Before First Bobsled Top,FlyingAnyorTornadoSonicMM,is possible with nothing (annoying)
Sonic,Mystic Mansion,Room Before First Bobsled Top,First Bobsled,BobsledSonicMM,
Sonic,Mystic Mansion,First Bobsled,Door At Checkpoint 2,BobsledSonicMM,
Sonic,Mystic Mansion,Door At Checkpoint 2,Checkpoint 2,,
Sonic,Mystic Mansion,Checkpoint 2,Door At Checkpoint 2,,
Sonic,Mystic Mansion,Door At Checkpoint 2,Bonus Key 2,,
Sonic,Mystic Mansion,Door At Checkpoint 2,Middle Skeleton Room,KillGroundEnemySpearSpikeShieldSonicMM,
Sonic,Mystic Mansion,Middle Skeleton Room,Middle Skeleton Top,Flying3CharsSonicMM,currently only bishop at top
Sonic,Mystic Mansion,Middle Skeleton Room,Left Skeleton Room Entrance,TPSwitchSonicMM,only has hint ring
Sonic,Mystic Mansion,Middle Skeleton Room,Right Skeleton Room Entrance,TPSwitchSonicMM,
Sonic,Mystic Mansion,Left Skeleton Room Entrance,Middle Skeleton Room,TPSwitchSonicMM,
Sonic,Mystic Mansion,Left Skeleton Room Entrance,Right Skeleton Room Entrance,TPSwitchSonicMM,
Sonic,Mystic Mansion,Right Skeleton Room Entrance,Middle Skeleton Room,TPSwitchSonicMM,
Sonic,Mystic Mansion,Right Skeleton Room Entrance,Left Skeleton Room Entrance,TPSwitchSonicMM,only has hint ring
Sonic,Mystic Mansion,Right Skeleton Room Entrance,Right Skeleton Room First Platform,,
Sonic,Mystic Mansion,Right Skeleton Room First Platform,Right Skeleton Room Entrance,,
Sonic,Mystic Mansion,Right Skeleton Room First Platform,Right Skeleton Room Second Platform,FlyingAnySonicMM,
Sonic,Mystic Mansion,Right Skeleton Room Second Platform,Right Skeleton Room First Platform,,
Sonic,Mystic Mansion,Right Skeleton Room Second Platform,Right Skeleton Room Top of Head,FlyingAnySonicMM,
Sonic,Mystic Mansion,Right Skeleton Room Top of Head,Right Skeleton Room Second Platform,,
Sonic,Mystic Mansion,Right Skeleton Room Top of Head,Right Skeleton Room Back Alcove,,
Sonic,Mystic Mansion,Right Skeleton Room Back Alcove,Right Skeleton Room Top of Head,,
Sonic,Mystic Mansion,Right Skeleton Room Back Alcove,Left Skeleton Room Back Alcove,TPSwitchSonicMM,
Sonic,Mystic Mansion,Left Skeleton Room Back Alcove,Left Skeleton Room Top of Head,FlyingAnySonicMM,
Sonic,Mystic Mansion,Left Skeleton Room Top of Head,Left Skeleton Room Back Alcove,FlyingAnySonicMM,
Sonic,Mystic Mansion,Left Skeleton Room Back Alcove,Left Skeleton Room Top Platform,,
Sonic,Mystic Mansion,Left Skeleton Room Top Platform,Hallway With Stairs After Skeleton Room,PulleySonicMM,
Sonic,Mystic Mansion,Hallway With Stairs After Skeleton Room,First Circle Room With Wall Crack,,
Sonic,Mystic Mansion,First Circle Room With Wall Crack,Hallway With Stairs After Skeleton Room,,
Sonic,Mystic Mansion,First Circle Room With Wall Crack,Second Circle Room With Fan,BreakSonicMM,
