Team,Level,Source,Target,Rule,Notes
Super Hard Mode,Mystic Mansion,Start,Checkpoint 1,,
Super Hard Mode,Mystic Mansion,Checkpoint 1,Start,,
Super Hard Mode,Mystic Mansion,Start,Checkpoint 2,,
Super Hard Mode,Mystic Mansion,Checkpoint 2,Start,,
Super Hard Mode,Mystic Mansion,Start,Checkpoint 3,,
Super Hard Mode,Mystic Mansion,Checkpoint 3,Start,,
Super Hard Mode,Mystic Mansion,Start,Checkpoint 4,,
Super Hard Mode,Mystic Mansion,Checkpoint 4,Start,,
Super Hard Mode,Mystic Mansion,Start,Checkpoint 5,,
Super Hard Mode,Mystic Mansion,Checkpoint 5,Start,,
Super Hard Mode,Mystic Mansion,Start,Goal,,
