Team,Level,Source,Target,Rule,Notes
Chaotix,Ocean Palace,Start,ObjSanity,,
Chaotix,Ocean Palace,ObjSanity,Start,,
Chaotix,Ocean Palace,Start,Bonus Key 1,,
Chaotix,Ocean Palace,Bonus Key 1,Start,,
Chaotix,Ocean Palace,Start,Bonus Key 2,,
Chaotix,Ocean Palace,Bonus Key 2,Start,,
Chaotix,Ocean Palace,Start,Bonus Key 3,,
Chaotix,Ocean Palace,Bonus Key 3,Start,,
Chaotix,Ocean Palace,Start,Checkpoint 1,,
Chaotix,Ocean Palace,Checkpoint 1,Start,,
Chaotix,Ocean Palace,Start,Checkpoint 2,,
Chaotix,Ocean Palace,Checkpoint 2,Start,,
Chaotix,Ocean Palace,Start,Goal,,
