Team,Level,Source,Target,Rule,Notes
Dark,Ocean Palace,Start,ObjSanity,,
Dark,Ocean Palace,ObjSanity,Start,,
Dark,Ocean Palace,Start,Bonus Key 1,,
Dark,Ocean Palace,Bonus Key 1,Start,,
Dark,Ocean Palace,Start,Bonus Key 2,,
Dark,Ocean Palace,Bonus Key 2,Start,,
Dark,Ocean Palace,Start,Bonus Key 3,,
Dark,Ocean Palace,Bonus Key 3,Start,,
Dark,Ocean Palace,Start,Checkpoint 1,,
Dark,Ocean Palace,Checkpoint 1,Start,,
Dark,Ocean Palace,Start,Checkpoint 2,,
Dark,Ocean Palace,Checkpoint 2,Start,,
Dark,Ocean Palace,Start,Checkpoint 3,,
Dark,Ocean Palace,Checkpoint 3,Start,,
Dark,Ocean Palace,Start,Checkpoint 4,,
Dark,Ocean Palace,Checkpoint 4,Start,,
Dark,Ocean Palace,Start,Checkpoint 5,,
Dark,Ocean Palace,Checkpoint 5,Start,,
Dark,Ocean Palace,Start,Goal,,
