Team,Level,Source,Target,Rule,Notes
Rose,Ocean Palace,Start,ObjSanity,,
Rose,Ocean Palace,ObjSanity,Start,,
Rose,Ocean Palace,Start,Bonus Key 1,,
Rose,Ocean Palace,Bonus Key 1,Start,,
Rose,Ocean Palace,Start,Bonus Key 2,,
Rose,Ocean Palace,Bonus Key 2,Start,,
Rose,Ocean Palace,Start,Bonus Key 3,,
Rose,Ocean Palace,Bonus Key 3,Start,,
Rose,Ocean Palace,Start,Checkpoint 1,,
Rose,Ocean Palace,Checkpoint 1,Start,,
Rose,Ocean Palace,Start,Checkpoint 2,,
Rose,Ocean Palace,Checkpoint 2,Start,,
Rose,Ocean Palace,Start,Goal,,
