Team,Level,Source,Target,Rule,Notes
Sonic,Ocean Palace,Start,First Path,DashRampSonicOP,
Sonic,Ocean Palace,First Path,Start,NOTPOSSIBLE,
Sonic,Ocean Palace,First Path,Lower Path Before First Door,DashRampSonicOP,
Sonic,Ocean Palace,Lower Path Before First Door,First Path,NOTPOSSIBLE,
Sonic,Ocean Palace,Lower Path Before First Door,First Door,FlyingAnyorTripleSpringSonicOP,
Sonic,Ocean Palace,First Door,Lower Path Before First Door,,
Sonic,Ocean Palace,First Door,Falling Stone Structure 1,BreakSonicOP,Might be possible to go over door
Sonic,Ocean Palace,Falling Stone Structure 1,First Door,BreakSonicOP,
Sonic,Ocean Palace,Falling Stone Structure 1,Checkpoint 1,(DashRingorFlyingAny)andFallingStoneStructureSonicOP,
Sonic,Ocean Palace,Checkpoint 1,Falling Stone Structure 1,,
Sonic,Ocean Palace,Checkpoint 1,Falling Stone Structure 2,FanandGlideSonicOP,
Sonic,Ocean Palace,Falling Stone Structure 2,Checkpoint 1,,
Sonic,Ocean Palace,Falling Stone Structure 2,Bonus Key 1,,
Sonic,Ocean Palace,Bonus Key 1,Falling Stone Structure 2,,
Sonic,Ocean Palace,Bonus Key 1,Second Door,BreakandSingleSpringSonicOP,
Sonic,Ocean Palace,Falling Stone Structure 2,Second Door,FallingStoneStructureandFlyingAnySonicOP,
Sonic,Ocean Palace,Second Door,Falling Stone Structure 2,,
Sonic,Ocean Palace,Second Door,Hallway After Second Door,BreakSonicOP,Might be possible to go over door
Sonic,Ocean Palace,Hallway After Second Door,Second Door,BreakSonicOP,
Sonic,Ocean Palace,Hallway After Second Door,Upper Route After Second Door,FlyingAnySonicOP,
Sonic,Ocean Palace,Upper Route After Second Door,Hallway After Second Door,,
Sonic,Ocean Palace,Hallway After Second Door,Lower Route After Second Door,,
Sonic,Ocean Palace,Lower Route After Second Door,Hallway After Second Door,,Up Incline
Sonic,Ocean Palace,Upper Route After Second Door,Third Door,,
Sonic,Ocean Palace,Third Door,Upper Route After Second Door,,Up Incline
Sonic,Ocean Palace,Lower Route After Second Door,Third Door,FanandGlideSonicOP,
Sonic,Ocean Palace,Third Door,Lower Route After Second Door,,
Sonic,Ocean Palace,Third Door,Small Hallway After Third Door,BreakSonicOP,Might be possible to go over door
Sonic,Ocean Palace,Small Hallway After Third Door,Third Door,BreakSonicOP,
Sonic,Ocean Palace,Small Hallway After Third Door,Lower Route After Third Door,,
Sonic,Ocean Palace,Lower Route After Third Door,Small Hallway After Third Door,FlyingFullSonicOP,
Sonic,Ocean Palace,Small Hallway After Third Door,Upper Route After Third Door,TriangleJumpSonicOP,
Sonic,Ocean Palace,Upper Route After Third Door,Small Hallway After Third Door,NOTPOSSIBLE,
Sonic,Ocean Palace,Lower Route After Third Door,Upper Route After Third Door,FlyingFullor(FanandGlide)SonicOP,
Sonic,Ocean Palace,Upper Route After Third Door,Lower Route After Third Door,,
Sonic,Ocean Palace,Lower Route After Third Door,Small Path With Dash Pad,FallingStoneStructureandFlyingAnySonicOP,
Sonic,Ocean Palace,Small Path With Dash Pad,Lower Route After Third Door,,
Sonic,Ocean Palace,Upper Route After Third Door,Small Path With Dash Pad,DashRampSonicOP,
Sonic,Ocean Palace,Small Path With Dash Pad,Upper Route After Third Door,NOTPOSSIBLE,
Sonic,Ocean Palace,Small Path With Dash Pad,Small Path With Fan,DashRampor(FlyingFullandRainbowHoops)SonicOP,
Sonic,Ocean Palace,Small Path With Fan,Small Path With Dash Pad,NOTPOSSIBLE,
Sonic,Ocean Palace,Small Path With Fan,Path With 2 Fans,FlyingFullor(FanandGlide)SonicOP,
Sonic,Ocean Palace,Path With 2 Fans,Small Path With Fan,,
Sonic,Ocean Palace,Path With 2 Fans,Many Breakable Blocks,FanandGlideSonicOP,
Sonic,Ocean Palace,Many Breakable Blocks,Path With 2 Fans,,
Sonic,Ocean Palace,Many Breakable Blocks,Fourth Door,BreakorFlyingAnySonicOP,
Sonic,Ocean Palace,Fourth Door,Many Breakable Blocks,BreakorFlyingAnySonicOP,Up Incline
Sonic,Ocean Palace,Fourth Door,Path Before Turtles,BreakSonicOP,Might be possible to go over door
Sonic,Ocean Palace,Path Before Turtles,Fourth Door,BreakSonicOP,
Sonic,Ocean Palace,Path Before Turtles,Checkpoint 2,DashRampSonicOP,
Sonic,Ocean Palace,Checkpoint 2,Path Before Turtles,NOTPOSSIBLE,
Sonic,Ocean Palace,Checkpoint 2,Turtle Start,,
Sonic,Ocean Palace,Turtle Start,Checkpoint 2,,
Sonic,Ocean Palace,Turtle Start,Turtle 1 Left,FlyingAnySonicOP,
Sonic,Ocean Palace,Turtle 1 Left,Turtle Start,FlyingAnySonicOP,
Sonic,Ocean Palace,Turtle Start,Turtle 1 Right,FlyingAnySonicOP,
Sonic,Ocean Palace,Turtle 1 Right,Turtle Start,FlyingAnySonicOP,
Sonic,Ocean Palace,Turtle Start,Turtle Start Cannon Speed,CannonSpeedSonicOP,
Sonic,Ocean Palace,Turtle Start Cannon Speed,Turtle 2 Middle,,
Sonic,Ocean Palace,Turtle Start,Turtle Start Cannon Flying,CannonFlyingSonicOP,
Sonic,Ocean Palace,Turtle Start Cannon Flying,Turtle 1 Right,,
Sonic,Ocean Palace,Turtle Start,Turtle Start Cannon Power,CannonPowerSonicOP,
Sonic,Ocean Palace,Turtle Start Cannon Power,Turtle 1 Right,,
Sonic,Ocean Palace,Turtle 1 Right,Turtle 1 Left,DashRampSonicOP,
Sonic,Ocean Palace,Turtle 1 Right,Turtle 1 Right Cannon,KillGroundEnemyConcreteShieldSonicOP,
Sonic,Ocean Palace,Turtle 1 Right Cannon,Turtle 1 Right Cannon Speed,CannonSpeedSonicOP,
Sonic,Ocean Palace,Turtle 1 Right Cannon Speed,Turtle 4 Left,,
Sonic,Ocean Palace,Turtle 1 Right Cannon,Turtle 1 Right Cannon Flying,CannonFlyingSonicOP,
Sonic,Ocean Palace,Turtle 1 Right Cannon Flying,Turtle 1 Right,,
Sonic,Ocean Palace,Turtle 1 Right Cannon,Turtle 1 Right Cannon Power,CannonPowerSonicOP,
Sonic,Ocean Palace,Turtle 1 Right Cannon Power,Turtle 3 Left,,
Sonic,Ocean Palace,Turtle 1 Right Cannon Power,Turtle 2 Middle,,
Sonic,Ocean Palace,Turtle 2 Middle,Turtle 2 Middle Cannon,KillFlyingEnemyGreenShotNothingSonicOP,Green with Shot
Sonic,Ocean Palace,Turtle 2 Middle Cannon,Turtle 2 Middle,,
Sonic,Ocean Palace,Turtle 2 Middle,Turtle 3 Left,FlyingAnySonicOP,
