Team,Level,Source,Target,Rule,Notes
Super Hard Mode,Ocean Palace,Start,Checkpoint 1,,
Super Hard Mode,Ocean Palace,Checkpoint 1,Start,,
Super Hard Mode,Ocean Palace,Start,Checkpoint 2,,
Super Hard Mode,Ocean Palace,Checkpoint 2,Start,,
Super Hard Mode,Ocean Palace,Start,Checkpoint 3,,
Super Hard Mode,Ocean Palace,Checkpoint 3,Start,,
Super Hard Mode,Ocean Palace,Start,Checkpoint 4,,
Super Hard Mode,Ocean Palace,Checkpoint 4,Start,,
Super Hard Mode,Ocean Palace,Start,Checkpoint 5,,
Super Hard Mode,Ocean Palace,Checkpoint 5,Start,,
Super Hard Mode,Ocean Palace,Start,Goal,,
