Team,Level,Source,Target,Rule,Notes
Chaotix,Power Plant,Start,ObjSanity,,
Chaotix,Power Plant,ObjSanity,Start,,
Chaotix,Power Plant,Start,Bonus Key 1,,
Chaotix,Power Plant,Bonus Key 1,Start,,
Chaotix,Power Plant,Start,Bonus Key 2,,
Chaotix,Power Plant,Bonus Key 2,Start,,
Chaotix,Power Plant,Start,Bonus Key 3,,
Chaotix,Power Plant,Bonus Key 3,Start,,
Chaotix,Power Plant,Start,Checkpoint 1,,
Chaotix,Power Plant,Checkpoint 1,Start,,
Chaotix,Power Plant,Start,Checkpoint 2,,
Chaotix,Power Plant,Checkpoint 2,Start,,
Chaotix,Power Plant,Start,Checkpoint 3,,
Chaotix,Power Plant,Checkpoint 3,Start,,
Chaotix,Power Plant,Start,Goal,,
