Team,Level,Source,Target,Rule,Notes
Dark,Power Plant,Start,ObjSanity,,
Dark,Power Plant,ObjSanity,Start,,
Dark,Power Plant,Start,Bonus Key 1,,
Dark,Power Plant,Bonus Key 1,Start,,
Dark,Power Plant,Start,Bonus Key 2,,
Dark,Power Plant,Bonus Key 2,Start,,
Dark,Power Plant,Start,Bonus Key 3,,
Dark,Power Plant,Bonus Key 3,Start,,
Dark,Power Plant,Start,Checkpoint 1,,
Dark,Power Plant,Checkpoint 1,Start,,
Dark,Power Plant,Start,Checkpoint 2,,
Dark,Power Plant,Checkpoint 2,Start,,
Dark,Power Plant,Start,Checkpoint 3,,
Dark,Power Plant,Checkpoint 3,Start,,
Dark,Power Plant,Start,Checkpoint 4,,
Dark,Power Plant,Checkpoint 4,Start,,
Dark,Power Plant,Start,Goal,,
