Team,Level,Source,Target,Rule,Notes
Rose,Power Plant,Start,ObjSanity,,
Rose,Power Plant,ObjSanity,Start,,
Rose,Power Plant,Start,Bonus Key 1,,
Rose,Power Plant,Bonus Key 1,Start,,
Rose,Power Plant,Start,Bonus Key 2,,
Rose,Power Plant,Bonus Key 2,Start,,
Rose,Power Plant,Start,Bonus Key 3,,
Rose,Power Plant,Bonus Key 3,Start,,
Rose,Power Plant,Start,Checkpoint 1,,
Rose,Power Plant,Checkpoint 1,Start,,
Rose,Power Plant,Start,Checkpoint 2,,
Rose,Power Plant,Checkpoint 2,Start,,
Rose,Power Plant,Start,Goal,,
