Team,Level,Source,Target,Rule,Notes
Chaotix,Rail Canyon,Start,ObjSanity,,
Chaotix,Rail Canyon,ObjSanity,Start,,
Chaotix,Rail Canyon,Start,Bonus Key 1,,
Chaotix,Rail Canyon,Bonus Key 1,Start,,
Chaotix,Rail Canyon,Start,Bonus Key 2,,
Chaotix,Rail Canyon,Bonus Key 2,Start,,
Chaotix,Rail Canyon,Start,Checkpoint 1,,
Chaotix,Rail Canyon,Checkpoint 1,Start,,
Chaotix,Rail Canyon,Start,Checkpoint 2,,
Chaotix,Rail Canyon,Checkpoint 2,Start,,
Chaotix,Rail Canyon,Start,Checkpoint 3,,
Chaotix,Rail Canyon,Checkpoint 3,Start,,
Chaotix,Rail Canyon,Start,Checkpoint 4,,
Chaotix,Rail Canyon,Checkpoint 4,Start,,
Chaotix,Rail Canyon,Start,Checkpoint 5,,
Chaotix,Rail Canyon,Checkpoint 5,Start,,
Chaotix,Rail Canyon,Start,Goal,,
